bom_style,is_mapped,efab_api_id,efab_description
CEE4624A/1,False,,
BK 8326/0,False,,
BK 8272A/1,False,,
CT1104/1,False,,
C1B4746A/1,False,,
BK 8204/0,False,,
CEE4611C/1,False,,
CF5501/SLT,False,,
DC3965/0,False,,
CF5392/0,False,,
CT2621/1,False,,
CT1577/1B,False,,
CT2530/1O,False,,
CF5199/0,False,,
CT2894/5B,False,,
C4T4131/TT1B,False,,
72762/PL,False,,
C1B4440A/1,False,,
C1B4062/1,False,,
BK4988/3813,False,,
BK 8322/0,False,,
C2B3237/3B,False,,
CF5019/0,False,,
GR9069RC/0,False,,
C1B3942/1,False,,
SF00845D/7339D,False,,
CF5297/0,False,,
C8B3888/1,False,,
CT3051/1,False,,
BK 8151/1,False,,
CEE3952/1,False,,
3000070209/0,False,,
C1B3438/1,False,,
16379/01A,False,,
3000070192/0,False,,
CT2679/1,False,,
C1B2976/4,False,,
DC3978/0,False,,
540000/T,False,,
CT2538/1,False,,
C1B3958/1,False,,
C1B4338A/1L,False,,
CEE3837/1U,False,,
CT2136/4KY3,False,,
C03056F/0,False,,
CT2670/KY1,False,,
C1B3542/3,False,,
P-J-794/0,False,,
CEE3270/3,False,,
CMR4659A/1,False,,
C1B4573A/1,False,,
CF5002/0,False,,
CMJ3163/5,False,,
1028/582L,False,,
CT22151/1AK,False,,
AM0035/L,False,,
C2B3483/1D,False,,
CF5173/0,False,,
CF5492/0,False,,
BK 8352/0,False,,
CEE3192/1,False,,
3000070210/0,False,,
C1B3292/2,False,,
CMR3639/4,False,,
CMR3639/6,False,,
C1B4338A/1,False,,
BK 8225/0,False,,
DAMASK PE/1,False,,
CT4402/1,False,,
CF5474/0,False,,
CT2653/7,False,,
BK 8267/0,False,,
C1B3199/1P,False,,
CT2873/1,False,,
CT2976/1,False,,
CF5439/BKT2,False,,
C1B3622/3,False,,
CF5179/0,False,,
CF5471/0,False,,
BK 8467/0,False,,
CF5441/0,False,,
BK 8508/0,False,,
CT2535/1P,False,,
BK 8216/12700,False,,
CF5387/0,False,,
C1B3227/1,False,,
CT3126/CTT1,False,,
CT2535/1,False,,
C1B3945/1K,False,,
MK3018T/R26BN,False,,
1540009/5254I,False,,
1903LONG/PUR,False,,
CEE4354A/1,False,,
2140390/BC2,False,,
CEE4435A/4,False,,
CT2710/TT1,False,,
C1B3225-42/1B,False,,
C1B3996/1,False,,
BK 7257/0,False,,
C1B3326/1,False,,
C1B4002/1,False,,
C5T3508/TT1,False,,
CT2557/CBD1,False,,
C1B3550/1,False,,
C1B4264A/1,False,,
CT2718/1,False,,
BK 4867/01,False,,
CEE4181A/U,False,,
AM0047/0,False,,
3000070228/0,False,,
CF5525/0,False,,
CMJ3177/8,False,,
CEE4371A/1,False,,
BK 5338/B,False,,
C1B3207/1,False,,
C1B3856/1,False,,
CEE4435A/1,False,,
C1B4072A/1,False,,
DC4042/0,False,,
CF1023/0,False,,
CSP3265/3,False,,
CT2918/1A,False,,
CT2502/1,False,,
C1B3402/1T,False,,
CEE4560A/1,False,,
CEE4293A/1V,False,,
CMJ3163/4,False,,
CT2366/1,False,,
C1B3475/1,False,,
CF5523/0,False,,
CT1838/1D,False,,
C1B2946/3,False,,
CEE3155/1,False,,
CT22120/1,False,,
CF5249/0,False,,
C5T3293/1,False,,
C1B4358A/1,False,,
CF5255/0,False,,
CT2341/1,False,,
BK 5188/1315,False,,
CT2439/1,False,,
C1135/0,False,,
CEE4687A/1,False,,
CT1309/2PD,False,,
CT2711/1A,False,,
13287/01A,False,,
BK 8475/0,False,,
BK 8281/0,False,,
CEE2745/1TK,False,,
CEE3689/1,False,,
CEE4535B/1,False,,
CT2007/TT1,False,,
C1B4655A/1,False,,
4000292760/0,False,,
CT22000-3/1N,False,,
SK3024T/BM,False,,
CT1397/6MMU,False,,
CMJ3163/3,False,,
4654 KD/0,False,,
CT2377/1,False,,
MK1003/0,False,,
CT2466/1,False,,
D5896/U,False,,
C897-19/0,False,,
CF1021/GLD,False,,
C1B3588/1F,False,,
CF5060/0,False,,
CF5264/0,False,,
FF25002/0005,False,,
CT1838/1T,False,,
AM0045/0,False,,
CF5288/0,False,,
AMER220003/1PNP,False,,
CT2469/1,False,,
BK 3785/AT,False,,
CT2913/2,False,,
C952/10,False,,
CMR3639/5,False,,
AM0061/LDC,False,,
CT2922/1,False,,
CEE2839/1U,False,,
CT22121/1D,False,,
CT2996/2,False,,
BK 8313/1,False,,
CF5427/0,False,,
C1B4117A/1,False,,
CT2222/1K,False,,
GG6022-HV/0,False,,
AM0018/TDC1,False,,
CT2988/5,False,,
C2B4108A/1,False,,
BK 8471/0,False,,
DC4008/0,False,,
CSP3265/100M,False,,
C1B3803/1T,False,,
D09023/1AC,False,,
C1B3276/2,False,,
C5T4474/TT1,False,,
CT2222/1TL,False,,
CEE3273/3,False,,
C0408F/0,False,,
CT3146/1,False,,
BK 8162/1,False,,
BK 8170/0,False,,
CF5177/0,False,,
3000113081/R26V,False,,
CT3116/1,False,,
CF5181/0,False,,
43396/0,False,,
CF5201/0,False,,
DC3976/0,False,,
CT2317/01,False,,
CT1649/2PL,False,,
CF5159/0,False,,
CT2424/1,False,,
CEE3618/1,False,,
GLACIERSTR-360/1,False,,
BK 7385/76100,False,,
CEE2749/1TK,False,,
BK 8406/B,False,,
CT2556/1P,False,,
CEE4411A/1,False,,
CF5141/0,False,,
CT0826/10,False,,
C1B3987C/1D,False,,
CT2988/4,False,,
CF5026/LHS,False,,
BK 8248/0,False,,
AM0020/1,False,,
16901/01A,False,,
BK 8505/0,False,,
CT2155/1NN,False,,
C4T4077/XFP1,False,,
C4T4458A/1,False,,
CF5111/0,False,,
C1B3356/1,False,,
BK 8187/A0,False,,
CT2680/1,False,,
CEE4610A/1,False,,
CF5129/0,False,,
CT22102/1AK,False,,
C1B4023/2,False,,
C1B4179A/1,False,,
CSP4479A/1M,False,,
BK 8263/1,False,,
BK 4867/A,False,,
C1B4033/1D,False,,
C1B3923/1,False,,
P-L-2026/0,False,,
CT2937/1TK,False,,
CT2686/TT2B,False,,
CF1097/0,False,,
C5T4522A/1,False,,
3000070230/1,False,,
CT22108/1U,False,,
C1B4332A/1K,False,,
CT2871/1,False,,
C1B4461A/1,False,,
C1B4140A/1,False,,
DC4047/CL,False,,
CT2535/1T,False,,
CF5143/2,False,,
FF 10008/0011B,False,,
C1B4771A/1,False,,
BK 8314/0,False,,
CF1087/0,False,,
CT22150/1BB,False,,
AM0034OW/Z,False,,
BK 6427/FBB,False,,
CT2482/1,False,,
IPP503/0,False,,
CT2303/1,False,,
SK5620K/MVSV,False,,
C0332F/FX3,False,,
FF 10006/0004,False,,
3000070153/0,False,,
C1B4383A/1,False,,
CMR4344/3C,False,,
CEE3927/1,False,,
DC3863/2,False,,
C4T3601/FER1,False,,
C1B3964/1,False,,
BK 8443/12,False,,
CMJ3177/2P,False,,
910001/ST1,False,,
BK 8485/MM,False,,
C5T4481-42/1,False,,
C1B3226/2D,False,,
C0319F/2624S,False,,
3000070288/1,False,,
CT22121/1O,False,,
CT2709/1,False,,
CEE4407A/1M,False,,
BK 8273/C,False,,
4000292760/J,False,,
C1B4514A/1,False,,
CT2792/1B,False,,
BK 8317/0,False,,
FF 25000/0008,False,,
2140391/BC2,False,,
CT2570/1,False,,
C1B3231/2,False,,
CT2791/1,False,,
CMR3373/3,False,,
C1B3880/1,False,,
CF5096/0,False,,
CF5509/0,False,,
BK 8303/0,False,,
C1B4310A/1T,False,,
CT2924/1,False,,
C2B4289A/1,False,,
BK 8431/0,False,,
643IPD/0,False,,
GG6020-BK/0,False,,
BK 8458/4020,False,,
SK5618Q/V,False,,
CF5034/LN25,False,,
CF5128/0,False,,
MK3820K/R26S,False,,
CF1020/0,False,,
C1B4641A/1,False,,
H39396-TH/0,False,,
CF1041/0,False,,
BK 6342/BB,False,,
BK 8271A/1,False,,
CF5501/TUB,False,,
C1B4137A/1,False,,
CEE3893/1,False,,
C1B4312A/2REC,False,,
CT2918/1P,False,,
C5T4423A/1,False,,
C1B4038/1T,False,,
CF5069/0,False,,
CF5522/0,False,,
AM0014/LD,False,,
5025/48,False,,
C1B3992/1,False,,
BK 8462/0,False,,
CT2358/1,False,,
BK 8205/00300,False,,
CT1320/2KUC,False,,
DC3955/0,False,,
CF5034/LN20,False,,
DC3959/0,False,,
MK1008/0,False,,
DFF446R/B,False,,
BK 8348/1,False,,
BK 8152/1,False,,
CT2556/1B,False,,
CT2605/3,False,,
16774/01A,False,,
CT22111/1DE,False,,
17510/01,False,,
3000070172/0,False,,
C1B4708A/1,False,,
C1B3611/1,False,,
C2B4197/1BKT,False,,
CT2858/TEST,False,,
C0404F/0,False,,
CF5426/0,False,,
125791/0,False,,
C1B3469/1,False,,
C1B3604/1,False,,
C1B3208/2,False,,
C0390F/0,False,,
CT4415/1,False,,
FF 25002/0002,False,,
CF5035/1,False,,
C1B4122A/1,False,,
CT2822/1,False,,
C1B3297/2,False,,
C0396F-28/0,False,,
4000169787/20,False,,
4000306818/12,False,,
FLF109/M,False,,
C1B4125A/3E,False,,
CK 8311/0,False,,
C1B3622/1,False,,
C1B4139A/1E,False,,
CEE4627A/1,False,,
CT2894/5,False,,
3000131197/0,False,,
3000070155/0,False,,
17403/01A,False,,
CT2434/R,False,,
CT22157/2AP,False,,
C1B3144/1,False,,
C1B3512/1B,False,,
CF5367/0,False,,
116 CASPER KD/0,False,,
CF5433/0,False,,
CF5337/0,False,,
CEE4226A/1,False,,
SF00987/7985I,False,,
71246/PC,False,,
C8B3774/1,False,,
CT2422/2,False,,
FLF602/PDCL,False,,
CEE3761A/1,False,,
FF 25000/0005,False,,
C1B3824-OLD CREEL/1,False,,
CEE4719A/1,False,,
3000070187/0,False,,
3000070171/0,False,,
C1B4105A/1,False,,
CEE3928/4,False,,
BK 8434/M,False,,
CT2668/2,False,,
CT2924/2,False,,
CMJ3177/5,False,,
CF5388/0,False,,
CEE3610/1M,False,,
CEE3430/1,False,,
FLF250/M,False,,
CEE4299A/1,False,,
CT22112/1D,False,,
16770/01A,False,,
191447/1,False,,
BK 8187/10011,False,,
BK 8441/0,False,,
CT2658/1,False,,
CT2920/1,False,,
AM0018/T,False,,
C7T4345A/1,False,,
C2B3262/1,False,,
CT2781/4,False,,
CT3065/2,False,,
C1B3614/1,False,,
CT22151/1D,False,,
CT22121/1A,False,,
CT2918/1DE,False,,
CF5310/0,False,,
BK 8194/0,False,,
ATG-66BLK/C,False,,
CEE4564A/1,False,,
CMR3158/5,False,,
C1B3281/1,False,,
CT2603/1,False,,
C4T3770/EFP1,False,,
BK 8391/0,False,,
C1B4033/1M,False,,
CF5001/0,False,,
C1B3230/3,False,,
DC3988/0,False,,
80393D/B,False,,
CF5053/0,False,,
SF00987/7985F,False,,
CEE4296A/1,False,,
AM0009/0,False,,
BK 8071/1,False,,
CF1016/0,False,,
CT2627/1,False,,
FF 20000/0001,False,,
CF5154/0,False,,
C1B3679/1O,False,,
FD0098/0,False,,
CT3772/1,False,,
CMR4067/1U,False,,
CEE2841/1T,False,,
CT3024/4,False,,
CT2811/1,False,,
CEE3258/1,False,,
RC30/1,False,,
SP100R/BLK,False,,
CT2556/1T,False,,
CT22000/1N,False,,
CT2983/3,False,,
CT3082/1,False,,
CT2938/1AK,False,,
BK 8307/0,False,,
C1B3283/1,False,,
CT2525/1,False,,
BK 8405/N,False,,
CMR4344/3,False,,
180001/STR,False,,
BK 8408/0,False,,
CT2935/1E,False,,
C1B3357/1,False,,
N890/T,False,,
CT2328/1,False,,
C1B4743A/2,False,,
CF6018/2,False,,
CT2291/2,False,,
C2B3238/2,False,,
CT22104/1A,False,,
CT3049/1,False,,
C2B4199A/1BKT,False,,
C1B4350A/1C,False,,
C1B3886/1,False,,
BK 8241/0,False,,
CEE4693A/1,False,,
16373/01A,False,,
C1B3949/1,False,,
CMR4067/1B,False,,
C1B3941/1D,False,,
C1B3338/3,False,,
CT3077/1,False,,
AM0050/0,False,,
CT2634/1,False,,
C1B3343/1,False,,
AM0029/0,False,,
3000113081/R26,False,,
SK5620K/BMV,False,,
C1B4635A/1,False,,
BK 8273T/0,False,,
C1B3308/2,False,,
C5T4353A/TT1B,False,,
SK5618Q/0,False,,
CEE3228/2,False,,
CT2996/4,False,,
DC3703/0,False,,
C991/01,False,,
19387/0,False,,
C1B4400A/1REP,False,,
CT1540/1IP,False,,
CT22205/0,False,,
BK 8445/0,False,,
C8B3671/1,False,,
BK 8120/4091,False,,
FF 10008/0010,False,,
BK 6159/AF,False,,
CT2731/1,False,,
CMJ3177/3,False,,
C2B3615D/KD,False,,
AM0023/0,False,,
C1B3252/1,False,,
C1B3306/6,False,,
C8B3709/2,False,,
CF5279/0,False,,
C5T3295/1,False,,
MK1007/0,False,,
CF5079/0,False,,
C1B3646/1,False,,
CEE3437/1,False,,
CT2478/2,False,,
CF1055/1,False,,
C1B4118A/1,False,,
AM0022/0,False,,
C5T3335/TT4,False,,
16847/01A,False,,
CEE3224/2,False,,
CF5265-HVY/0,False,,
CEE4720A/1,False,,
SF01021/8127,False,,
CT2155/1AT,False,,
CMJ3161/3,False,,
CF1045/0,False,,
CF1005/2,False,,
C1B4374-42/1KD,False,,
C1B4656A/3,False,,
CMJ3161/4,False,,
P-R-625/01,False,,
CEE4318A/1,False,,
CT2529/1,False,,
FLF251/PDM,False,,
BK 8504/0,False,,
BK 8147/1,False,,
C1B3306/3M,False,,
CT22111/1B,False,,
BARCELONASTR-450/1,False,,
CT3053/1,False,,
C1B3413/1,False,,
C1B4024/2,False,,
CT1838/1KC,False,,
CMR3158/4,False,,
FLF632/MI,False,,
CT2633/1,False,,
2140390/BUC,False,,
C2B3112/3,False,,
C1B3982/2,False,,
CT2890-42/2,False,,
CF5071/0,False,,
2140477/B,False,,
CEE4524A/1,False,,
5025/48O,False,,
AM0038/0,False,,
CT2965/1,False,,
CF5299/0,False,,
FF25000/0006,False,,
H40941/0,False,,
3000070271/1,False,,
FF 10008/0005B,False,,
CT2513/3C,False,,
C1B3629/1,False,,
C1B3987C/1O,False,,
C1B4051/1,False,,
CEE4688A/1,False,,
FF 10008/0006,False,,
C1B4378A/1,False,,
CMJ3161/5,False,,
C2B3483/1,False,,
BK 8188/0,False,,
TN-647-01/0,False,,
CEE4462A/1,False,,
BK 8158/01,False,,
CT22210/2C,False,,
CT2962/2,False,,
AM0028/3L,False,,
CT2161/0,False,,
CF5185/0,False,,
C1B3732/1,False,,
AM0015/0,False,,
C03102F/BHB,False,,
CT2398/2,False,,
CMJ3177/1,False,,
C1B3282/1,False,,
C1B3966/1,False,,
C1B3897/1,False,,
CT1320/2KNI,False,,
CR2319/01,False,,
C1B3859/1,False,,
C1B4057/1,False,,
BK 8187/28060,False,,
JC30/0,False,,
CT3019/TT1,False,,
C1B3799/2A,False,,
CT2992/3,False,,
MK1011/0,False,,
KBDU600K/1,False,,
2216RSNH/0,False,,
BK 8120/07780,False,,
CT2936/1U,False,,
CT2810/1,False,,
BK 8328/0,False,,
2140390/I,False,,
C0332F//1IV,False,,
BK 8325/0,False,,
CF5153/0,False,,
CF5493/NAT48,False,,
721SM0470/U,False,,
FLF600/C,False,,
C1B3794/1,False,,
3000070298/1,False,,
C1B3306/15,False,,
C1B4644A/1,False,,
CEE3303/1,False,,
AM0020/0,False,,
C4T4131/TT1U,False,,
C1B4374A/1,False,,
SF01035-V/8392,False,,
CT22151/1PU,False,,
BK 8063/SMS,False,,
C0332F/P1,False,,
G2309HV/1,False,,
BK 8516/L,False,,
C1B3255/1,False,,
C1B3865/1,False,,
CEE4046/1,False,,
CSP3256/1,False,,
C1B3652/1,False,,
C1B3673/1,False,,
C1B4781A/1,False,,
FLF200/33PD,False,,
CT1683/2,False,,
CMJ3163/8,False,,
SF00950/6621R,False,,
BK 8464/0,False,,
CF5317/0,False,,
CF5027/0,False,,
12956/01A,False,,
CF5369/0,False,,
C1B4312A/2RECD,False,,
15548/01A,False,,
C1B4723A/1,False,,
BK 8405/PB,False,,
CT3066/1,False,,
GM-9900-000PK/1,False,,
16378/01A,False,,
CT22150/1AB,False,,
CF1088N/1T,False,,
FLF200/30PD,False,,
GG6029-NA/0,False,,
C2B3251/1,False,,
CT1477/1U4PT,False,,
FJORDSTR-325/1,False,,
5050-4/PSREP,False,,
CT2956/3,False,,
N817/0,False,,
CT2985/TT1,False,,
R39395/0,False,,
5050-3/PSUDO,False,,
AM0061/5,False,,
6191/36,False,,
MK3820K/R26VP,False,,
BK 8187/10490,False,,
C1B3854/1,False,,
CT2513/2,False,,
FF78/014,False,,
CEE4253A/1,False,,
CEE2745/1UT,False,,
3000070166/0,False,,
C1B3428/1,False,,
FLF450/PDC,False,,
107839/3326E,False,,
C4T4294A/1,False,,
C952/07,False,,
CF5105/0,False,,
CMJ3164/2,False,,
C1B4014/1PT,False,,
AM0029/L,False,,
C1B3877/1,False,,
BK 8539/TONG,False,,
FF 10008/0014C,False,,
CF5398/0,False,,
BK 8235/0,False,,
CT22000-3/1P,False,,
CT2876/1L,False,,
19492/0,False,,
CT1519/1,False,,
DC3984/0,False,,
BK 8156/1,False,,
BK 8488/0,False,,
CEE4621A/1,False,,
CT2350/2PD,False,,
CT2890/2M,False,,
3000070213/1,False,,
DC4021/0,False,,
C1B3691/1,False,,
C1B4562A/1,False,,
CF1048/0,False,,
EESTR-380/1,False,,
C1B4012/1,False,,
CT1433/2C,False,,
CT22115/1A,False,,
C1B3806/1,False,,
CF5050/0,False,,
CT4136/0,False,,
CF5193/A,False,,
BK 8377/0,False,,
C5T3335/TT2,False,,
CT2658/1N,False,,
CT3024/3,False,,
CF5103/0,False,,
C1B3396/1,False,,
AM0052/T,False,,
C0331F/1BB,False,,
AMER220011/1P,False,,
P-M-1141/1,False,,
C1B3668/1,False,,
CF5035/LN20,False,,
CT2298/01,False,,
CT2317/02,False,,
CEE3760A/4,False,,
CEE4482A/1,False,,
R39394/0,False,,
CT2584/1,False,,
C1B2946/2T,False,,
C1B4639A/2,False,,
CT2066/1,False,,
BK 8120/7291,False,,
C1B4327A/1P,False,,
CT22103/1NN,False,,
CSP3656/2,False,,
3000070268/1,False,,
CF5234/0,False,,
CT2989/6,False,,
CT22120/2,False,,
MK1006/0,False,,
BK 8403/L,False,,
CT2752/1,False,,
CT2844/1,False,,
BK 8240/0,False,,
3000070235/1,False,,
DC3956/0,False,,
C1B4312A/1REPV,False,,
C1B3306/12,False,,
C1B4125A/1CO,False,,
ATG-65C/NC,False,,
CF2005/0,False,,
CF6017/2,False,,
CEE4759A/1,False,,
JC24/2,False,,
BK 8149/1,False,,
CF5428A/0,False,,
CT2370/2,False,,
C1B3855/1,False,,
JL-OW-03/0,False,,
C1B3640/4,False,,
BK 8548-KD/2,False,,
C1B3914/1,False,,
CT1259/1N,False,,
CT3055/1,False,,
JL2060FR/F,False,,
1538745/4060S,False,,
BK 8562/0,False,,
C0313F/A,False,,
C1B3879/1,False,,
BK 8548-KD/1,False,,
