Style #,Customer,Order #,Roll #,Vendor Roll #,Qty (yds),Qty (lbs),Good Ea.,Bad Ea.,Processor,Received
C1B3472-1/0,CTIC - CREATIVE TICKING,D69673,6967320,6967320,15.0,37.0,0,0,Altus - Plant 3,2025-08-29 15:55:04
C1B3472-1/0,CTIC - CREATIVE TICKING,D69673,906967313,6967313,7.0,17.0,0,0,Altus - Plant 3,2025-08-29 15:55:04
C1B3472-1/0,CTIC - CREATIVE TICKING,D69705,6970518,6970518,31.0,73.0,0,0,Altus - Plant 3,2025-08-29 15:55:07
C1B3472-1/0,CTIC - CREATIVE TICKING,D69705,6970517,6970517,25.0,58.7,0,0,Altus - Plant 3,2025-08-29 15:55:07
C1B3472-1/0,CTIC - CREATIVE TICKING,D69705,906970516,6970516,12.0,28.0,0,0,Altus - Plant 3,2025-08-29 15:55:07
C1B3472-1/0,CTIC - CREATIVE TICKING,D69705,906970515,6970515,21.0,49.0,0,0,Altus - Plant 3,2025-08-29 15:55:07
C1B3472-1/0,CTIC - CREATIVE TICKING,D69705,6970514,6970514,16.0,38.0,0,0,Altus - Plant 3,2025-08-29 15:55:07
C1B3472-1/0,CTIC - CREATIVE TICKING,D69705,6970510,6970510,26.0,61.0,0,0,Altus - Plant 3,2025-08-29 15:55:07
C1B3472-1/0,CTIC - CREATIVE TICKING,D69705,6970512,6970512,23.6,57.0,0,0,Altus - Plant 3,2025-08-29 15:55:07
C1B3472-1/0,CTIC - CREATIVE TICKING,D69705,6970513,6970513,24.0,56.0,0,0,Altus - Plant 3,2025-08-29 15:55:07
C1B3472-1/0,CTIC - CREATIVE TICKING,D69705,6970511,6970511,22.0,55.0,0,0,Altus - Plant 3,2025-08-29 15:55:07
C1B3472-1/0,CTIC - CREATIVE TICKING,D69705,6970506,6970506,25.0,60.2,0,0,Altus - Plant 3,2025-08-29 15:55:06
C1B3941-1/0,CTIC - CREATIVE TICKING,D69695,6969502,6969502,32.0,49.5,0,0,Altus - Plant 3,2025-08-30 12:15:06
C1B3941-1/0,CTIC - CREATIVE TICKING,D69695,6969504,6969504,54.0,83.0,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B3941-1/0,CTIC - CREATIVE TICKING,D69695,6969503,6969503,33.0,50.0,0,0,Altus - Plant 3,2025-08-30 12:15:06
C1B3941-1/0,CTIC - CREATIVE TICKING,D69695,6969501,6969501,32.9,50.6,0,0,Altus - Plant 3,2025-08-30 12:15:06
C1B4125-1/0,CTIC - CREATIVE TICKING,D69710,6971010,6971010,43.2,53.0,0,0,Altus - Plant 3,2025-08-30 12:15:08
C1B4125-1/0,CTIC - CREATIVE TICKING,D69710,6971009,6971009,40.6,48.0,0,0,Altus - Plant 3,2025-08-30 12:15:08
C1B4125-1/0,CTIC - CREATIVE TICKING,D69710,6971006,6971006,42.8,52.0,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4125-1/0,CTIC - CREATIVE TICKING,D69710,6971008,6971008,41.0,50.0,0,0,Altus - Plant 3,2025-08-30 12:15:08
C1B4125-1/0,CTIC - CREATIVE TICKING,D69710,6971007,6971007,42.0,51.0,0,0,Altus - Plant 3,2025-08-30 12:15:08
C1B4125-1/0,CTIC - CREATIVE TICKING,D69710,6971005,6971005,42.0,51.0,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4125-1/0,CTIC - CREATIVE TICKING,D69710,6971004,6971004,41.7,51.0,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4125-1/0,CTIC - CREATIVE TICKING,D69710,6971003,6971003,41.0,50.0,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4125-1/0,CTIC - CREATIVE TICKING,D69710,6971002,6971002,41.0,50.0,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4125-1/0,CTIC - CREATIVE TICKING,D69710,6971001,6971001,41.0,50.0,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4125-1/0,CTIC - CREATIVE TICKING,D69703,6970310,6970310,41.0,48.5,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4125-1/0,CTIC - CREATIVE TICKING,D69703,6970306,6970306,41.0,48.0,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4125-1/0,CTIC - CREATIVE TICKING,D69703,6970311,6970311,42.0,49.0,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4125-1/0,CTIC - CREATIVE TICKING,D69703,6970308,6970308,41.0,48.0,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4125-1/0,CTIC - CREATIVE TICKING,D69703,6970305,6970305,43.7,52.0,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4125-1/0,CTIC - CREATIVE TICKING,D69703,6970307,6970307,43.0,51.0,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4125-1/0,CTIC - CREATIVE TICKING,D69703,6970304,6970304,40.8,48.0,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4125-1/0,CTIC - CREATIVE TICKING,D69703,906970309,6970309,21.0,24.0,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4125-1/0,CTIC - CREATIVE TICKING,D69703,6970312,6970312,24.5,29.0,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4125-1/0,CTIC - CREATIVE TICKING,D69703,6970303,6970303,40.0,48.0,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4125-1/0,CTIC - CREATIVE TICKING,D69703,6970301,6970301,42.0,51.0,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4125-1/0,CTIC - CREATIVE TICKING,D69703,6970302,6970302,44.0,52.0,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4312-2/0,CTIC - CREATIVE TICKING,D69694,6969410,6969410,23.0,48.8,0,0,Altus - Plant 3,2025-08-30 12:15:06
C1B4312-2/0,CTIC - CREATIVE TICKING,D69682,6968214,6968214,31.0,65.0,0,0,Altus - Plant 3,2025-08-29 15:55:05
C1B4312-2/0,CTIC - CREATIVE TICKING,D69682,6968212,6968212,24.0,49.2,0,0,Altus - Plant 3,2025-08-29 15:55:05
C1B4312-2/0,CTIC - CREATIVE TICKING,D69682,6968207,6968207,24.0,50.0,0,0,Altus - Plant 3,2025-08-29 15:55:05
C1B4312-2/0,CTIC - CREATIVE TICKING,D69682,6968210,6968210,23.6,59.0,0,0,Altus - Plant 3,2025-08-29 15:55:05
C1B4312-2/0,CTIC - CREATIVE TICKING,D69694,6969408,6969408,24.0,51.3,0,0,Altus - Plant 3,2025-08-30 12:15:06
C1B4312-2/0,CTIC - CREATIVE TICKING,D69694,6969413,6969413,24.0,50.8,0,0,Altus - Plant 3,2025-08-30 12:15:06
C1B4312-2/0,CTIC - CREATIVE TICKING,D69694,6969409,6969409,22.0,47.8,0,0,Altus - Plant 3,2025-08-30 12:15:06
C1B4312-2/0,CTIC - CREATIVE TICKING,D69694,6969412,6969412,23.7,50.0,0,0,Altus - Plant 3,2025-08-30 12:15:06
C1B4312-2/0,CTIC - CREATIVE TICKING,D69682,6968208,6968208,24.4,51.0,0,0,Altus - Plant 3,2025-08-29 15:55:05
C1B4312-2/0,CTIC - CREATIVE TICKING,D69682,6968203,6968203,23.8,51.0,0,0,Altus - Plant 3,2025-08-29 15:55:05
