Yarn Demand Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yarn,Supplier,Description,Color,Monday Inventory,Total Demand,Total Receipt,Balance,Past Due Receipts,,Demand This Week,Receipts This Week,Balance This Week,,Demand Week 37,Receipts Week 37,Balance Week 37,,Demand Week 38,Receipts Week 38,Balance Week 38,,Demand Week 39,Receipts Week 39,Balance Week 39,,Demand Week 40,Receipts Week 40,Balance Week 40,,Demand Week 41,Receipts Week 41,Balance Week 41,,Demand Week 42,Receipts Week 42,Balance Week 42,,Demand Week 43,Receipts Week 43,Balance Week 43,,Demand Week 44,Receipts Week 44,Balance Week 44,,Demand Later,Receipts Later,Balance Later
18870,BUHLER QUALITY YARNS CORP,10/2 80/20 PPS/Glass Natural ,Natural,-162.2093408,13323.948,14000,513.8426592,13000,,323.316123309201,0,-485.525464109201,,323.316123309201,0,-808.841587418403,,323.316123309201,0,-1132.1577107276,,323.316123309201,0,-1455.47383403681,,323.316123309201,1000,-778.789957346007,,323.316123309201,0,-1102.10608065521,,323.316123309201,0,-1425.42220396441,,323.316123309201,0,-1748.73832727361,,323.316123309201,0,-2072.05445058281,,10414.1028902172,0,-12486.1573408
13364,PARKDALE YARN MILLS,20/1 100% Karded Cotton Natural OE,Natural,70.1834720000001,232.65,0,-162.466528,0,,232.65,0,-162.466528,,0,0,-162.466528,,0,0,-162.466528,,0,0,-162.466528,,0,0,-162.466528,,0,0,-162.466528,,0,0,-162.466528,,0,0,-162.466528,,0,0,-162.466528,,0,0,-162.466528
18708,UNIFI,1/150/34 100% Polyester Natural Set - Sorbtek ,Natural,619.0236,4279.5324,4864.3,1203.7912,4864.3,,763.805279623045,0,-144.781679623045,,763.805279623045,0,-908.58695924609,,763.805279623045,0,-1672.39223886914,,763.805279623045,0,-2436.19751849218,,763.805279623045,0,-3200.00279811523,,460.506001884773,0,-3660.5088,,0,0,-3660.5088,,0,0,-3660.5088,,0,0,-3660.5088,,0,0,-3660.5088
14415,CREORA/US Hyosung,1/70 100% Spandex Clear H300 ,Clear,451.184892,548.1126,0,-96.927708,0,,548.1126,0,-96.927708,,0,0,-96.927708,,0,0,-96.927708,,0,0,-96.927708,,0,0,-96.927708,,0,0,-96.927708,,0,0,-96.927708,,0,0,-96.927708,,0,0,-96.927708,,0,0,-96.927708
10153,UNIFI,2/150/34 100% Polyester WHEAT 1196F ,WHEAT,2939.775802,3635.1168,0,-695.340998,0,,3015.18475226233,0,-75.4089502623274,,619.932047737672,0,-695.340997999999,,0,0,-695.340997999999,,0,0,-695.340997999999,,0,0,-695.340997999999,,0,0,-695.340997999999,,0,0,-695.340997999999,,0,0,-695.340997999999,,0,0,-695.340997999999,,0,0,-695.340997999999
18358,MERIDIAN SPECIALTY YARN GROUP INC,1/150/36 100% Polyester COBALT 01275 ,COBALT,420.524248,484,0,-63.4757520000001,0,,484,0,-63.4757520000001,,0,0,-63.4757520000001,,0,0,-63.4757520000001,,0,0,-63.4757520000001,,0,0,-63.4757520000001,,0,0,-63.4757520000001,,0,0,-63.4757520000001,,0,0,-63.4757520000001,,0,0,-63.4757520000001,,0,0,-63.4757520000001
18318,SPUNLAB,30/1 70/10/20 Polyester/Cotton/Rayon Black 65% 12% Black Poly 8097 RS,Black 65%,229,292,0,-63,0,,292,0,-63,,0,0,-63,,0,0,-63,,0,0,-63,,0,0,-63,,0,0,-63,,0,0,-63,,0,0,-63,,0,0,-63,,0,0,-63
12321,UNIFI,1/100/96 100% Polyester Natural SETTS ,Natural,228.148112,2106.7396,0,-1878.591488,0,,247.619038479504,0,-19.4709264795042,,247.619038479504,0,-267.089964959008,,247.619038479504,0,-514.709003438513,,247.619038479504,0,-762.328041918017,,247.619038479504,0,-1009.94708039752,,247.619038479504,0,-1257.56611887703,,247.619038479504,0,-1505.18515735653,,247.619038479504,0,-1752.80419583603,,125.787292163967,0,-1878.591488,,0,0,-1878.591488
19009,DECA GLOBAL,20/1 60/40 Combed Cotton/Polyester Natural RS,Natural,0,0,8000,8000,8000,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
19087,BUHLER QUALITY YARNS CORP,21/1 75/15/10 Protex F/Tencel G100/Nylon Natural ,Natural,0,0,270,270,0,,0,0,0,,0,0,0,,0,270,270,,0,0,270,,0,0,270,,0,0,270,,0,0,270,,0,0,270,,0,0,270,,0,0,270
