Style,Yarn,Percentage,This Week,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Week 44,Later,Total
C1B3987C/1DU,18594,31.0,1437.50882379691,422.491176203092,,,,,,,,,1860.0
C1B3987C/1DU,18733,9.6,445.164022853236,130.835977146764,,,,,,,,,576.0
C1B3987C/1DU,18929,0.2,9.27425047610909,2.72574952389091,,,,,,,,,12.0
C1B3987C/1DU,19030,3.6,166.936508569964,49.0634914300365,,,,,,,,,216.0
C1B4014-42/1AT,18363,10.9,,,,,,,,,,,0.0
C1B4014-42/1AT,18594,45.2,,,,,,,,,,,0.0
C1B4014-42/1AT,18763,37.0,,,,,,,,,,,0.0
C1B4014-42/1AT,18929,0.7,,,,,,,,,,,0.0
C1B4014-42/1AT,19003,6.2,,,,,,,,,,,0.0
C1B4033/1B,12526,12.5,281.914781286071,25.2102187139294,,,,,,,,,307.125
C1B4033/1B,18376,39.0,879.57411761254,78.6558823874598,,,,,,,,,958.23
C1B4033/1B,18763,24.9,561.574244321853,50.2187556781474,,,,,,,,,611.793
C1B4033/1B,18865,7.7,173.659505272219,15.5294947277805,,,,,,,,,189.189
C1B4033/1B,18894,15.9,358.595601795882,32.0673982041182,,,,,,,,,390.663
C1B4038/1C,12526,25.9,553.619072914221,288.130927085779,,,,,,,,,841.75
C1B4038/1C,18376,41.0,876.385404999346,456.114595000654,,,,,,,,,1332.5
C1B4038/1C,18893,16.3,348.416636621691,181.333363378309,,,,,,,,,529.75
C1B4038/1C,18894,16.8,359.104263511927,186.895736488073,,,,,,,,,546.0
C1B4125A/1CO,18233,16.2,398.682,,,,,,,,,,398.682
C1B4125A/1CO,18358,8.4,206.724,,,,,,,,,,206.724
C1B4125A/1CO,18372,26.2,644.782,,,,,,,,,,644.782
C1B4125A/1CO,18894,8.4,206.724,,,,,,,,,,206.724
C1B4125A/1CO,19020,40.8,1004.088,,,,,,,,,,1004.088
C1B4125A/1T,18233,16.2,402.141998590926,491.506887166687,483.351114242388,,,,,,,,1377.0
C1B4125A/1T,18293,8.4,208.518073343443,254.855422975319,250.626503681238,,,,,,,,714.0
C1B4125A/1T,18373,26.2,650.377800190263,794.906200232543,781.715999577195,,,,,,,,2227.0
C1B4125A/1T,18894,8.4,208.518073343443,254.855422975319,250.626503681238,,,,,,,,714.0
C1B4125A/1T,19020,40.8,1012.80207052529,1237.86919730869,1217.32873216601,,,,,,,,3468.0
C1B4139A/1B,12526,28.5,68.115,,,,,,,,,,68.115
C1B4139A/1B,18832,44.4,106.116,,,,,,,,,,106.116
C1B4139A/1B,18894,18.2,43.498,,,,,,,,,,43.498
C1B4139A/1B,19003,8.9,21.271,,,,,,,,,,21.271
