bom_style,mapped_to,match_type
CT0695/TT1S,CT0695,base_code
CEE4482A/1,CEE4482A,base_code
BK 8217/71720,,unmapped
CEE3365/1,CEE3365,base_code
BK 8273/N1,,unmapped
CT2407/1N,CT2407,base_code
2140396/BC2,2140396,base_code
CEE3267/3,CEE3267,base_code
CMJ3159/1,CMJ3159,base_code
JL5074/CC,,unmapped
SF01035/8392S,,unmapped
CMR3638/3,CMR3638,base_code
C1B3967/1,C1B3967,base_code
CT3127/1,,unmapped
DFF505R/F,DFF505R,base_code
CT2683/1,,unmapped
BK 8545/0,,unmapped
FLF632/M582L,,unmapped
CT3110/1,CT3110,base_code
CF5412B/0,CF5412B,base_code
CEE3500/1,CEE3500,base_code
CT22000/1N,,unmapped
12636/01AB,,unmapped
CEE4317A/1N,CEE4317A,base_code
C4T4131/TT1B,,unmapped
CEE4557A/1,CEE4557A,base_code
CT2913/2L,CT2913,base_code
C0319F/2624,,unmapped
CT2463/1,,unmapped
C1B3902/1,C1B3902,base_code
C1B3648/1,C1B3648,base_code
CF6017/2,CF6017,base_code
BK 6643/B,,unmapped
BK 7486/4800,,unmapped
C1B4428A/1,C1B4428A,base_code
CT4427/1,CT4427,base_code
CEE4519A/1,,unmapped
CT2291/2,,unmapped
BK 5323/C,,unmapped
CT2941/CTT1,CT2941,base_code
CF5415/0,CF5415,base_code
3000070215/1,,unmapped
BK 8158R/01,,unmapped
CEE3928/3,CEE3928,base_code
CT1769/1U,,unmapped
C1B3679/1O,C1B3679,base_code
BK 8393/0,,unmapped
C1B3467/1,C1B3467,base_code
C03102F/A72,,unmapped
CF5123/0,CF5123,base_code
C1B4743A/2,C1B4743A,base_code
BK 8278/U,,unmapped
CMR3513/2D,CMR3513,base_code
3000070144/0,,unmapped
12597/03AZ,,unmapped
CT2222/1TLD,CT2222,base_code
BK 8516/L,,unmapped
CT2873/1,CT2873,base_code
CT2866/1A,CT2866,base_code
CMR4344/3B,CMR4344,base_code
CT22111/2C,CT22111,base_code
721SM0627/1,721SM0627,base_code
C2B3112/2,C2B3112,base_code
CT2513/3L,CT2513,base_code
CT2819/1C,CT2819,base_code
CF1088N/1,CF1088N,base_code
AM0016/T,,unmapped
C1B3562/1,C1B3562,base_code
CF5400A/0,CF5400A,base_code
SF00222/6124C,,unmapped
C1B3737/1,C1B3737,base_code
SK4020T/0,,unmapped
N884/162B,,unmapped
CEE3270/2,CEE3270,base_code
CF5249/0,CF5249,base_code
16768/01AE,16768,base_code
C5T3317/GF,C5T3317,base_code
C2B4079A/2L,C2B4079A,base_code
CMR3638/6,CMR3638,base_code
CT22111/2,CT22111,base_code
CT2997/1,CT2997,base_code
CT2548/1,CT2548,base_code
C1B3806/1,C1B3806,base_code
SF01021/8127S,,unmapped
CEE4539A/1,CEE4539A,base_code
CF1023/0,,unmapped
CT2744/1,CT2744,base_code
C1B4647A/1,C1B4647A,base_code
C1B3941/1N,C1B3941,base_code
CEE4762A/1,CEE4762A,base_code
CEE4483A/1,CEE4483A,base_code
CMJ3735/1,CMJ3735,base_code
CT22107/2,CT22107,base_code
C1B4400A/1REPD,C1B4400A,base_code
C1B3641/1,C1B3641,base_code
CT22151/1CU,CT22151,base_code
CMJ3162/4,CMJ3162,base_code
AM0036/0,,unmapped
3000070217/1,,unmapped
CF5271/0,CF5271,base_code
CT1703/TT5S,CT1703,base_code
CT22150/WCU,CT22150,base_code
ICHE602/0,,unmapped
C1B4214A/1,C1B4214A,base_code
BK 8475/MM,,unmapped
707992/0,707992,base_code
3000070173/1,,unmapped
CT22121/1KC,CT22121,base_code
CT2255/TT1N,,unmapped
BK 8205/67122,BK8205,base_code
C1B4072A/1,C1B4072A,base_code
C878-21/0,,unmapped
CF5375/0,CF5375,base_code
BK 8497/0,,unmapped
CT22000-4/0,,unmapped
DC4027/1,,unmapped
GG6027-HV/0,GG6027-HV,base_code
CT2407/1,CT2407,base_code
CEE3192/1A,CEE3192,base_code
C1B4323A/1,C1B4323A,base_code
AM0034/BKT,,unmapped
C1B4307A/1,C1B4307A,base_code
CEE4443A/1,,unmapped
19001/01E,,unmapped
CMR3158/5,,unmapped
C5T3335/TT1,C5T3335,base_code
C5T4481-42/1,C5T4481-42,base_code
CT2652/1,,unmapped
CT22104/2U,CT22104,base_code
CMR3158/2,,unmapped
DFF505J/0,DFF505J,base_code
CT2865/1,CT2865,base_code
FF 10008/0005C,FF10008,base_code
CT2222/1T,CT2222,base_code
BK 8338/0,,unmapped
FF 10008/0014,FF10008,base_code
C1B3963/1,C1B3963,base_code
BK 8448/C,,unmapped
C1B3945/1,C1B3945,base_code
C5T3296/2,C5T3296,base_code
CT2513/3,CT2513,base_code
CT2870/1,CT2870,base_code
C1B3859/1,C1B3859,base_code
CMJ3164/9,CMJ3164,base_code
C1B4334A/1,C1B4334A,base_code
3000070174/3,,unmapped
CF5094/0,CF5094,base_code
CT2656/TT2,,unmapped
CF1049/0,,unmapped
CEE3267/3T,CEE3267,base_code
CF5092/0,CF5092,base_code
CF1031/0,,unmapped
16700/01A,,unmapped
CT2374/1,,unmapped
CT2886/1A,CT2886,base_code
BK 8120/0,BK8120,base_code
CF5405/0,CF5405,base_code
CT2489/1,,unmapped
C1B3167/3,C1B3167,base_code
MK1006/0,,unmapped
CT1477/1P,CT1477,base_code
CT2603/1,,unmapped
JQL9005/A,,unmapped
GM-9900-000PK/1,,unmapped
CT2990/6,,unmapped
3000070204/0,,unmapped
1903LONG/PUR,1903LONG,base_code
N948/0,,unmapped
CT1377/1C,CT1377,base_code
C4T4077/XFP1,C4T4077,base_code
FL2646-1.5/U,,unmapped
CF5472/0,CF5472,base_code
C1B4185A/1,C1B4185A,base_code
CF5193/A,CF5193,base_code
CF5366/0,CF5366,base_code
2140370/BX,2140370,base_code
CF5194/0,CF5194,base_code
13000/01,,unmapped
CT2392/1,,unmapped
2040073/0,2040073,base_code
CF5017/T,CF5017,base_code
C1B3765/1K,C1B3765,base_code
CF5329/0,CF5329,base_code
C4T4280A/1,C4T4280A,base_code
BARCELONASTR-340/1,,unmapped
CT2956/1,CT2956,base_code
C1B4657A/1,C1B4657A,base_code
CF5510/0,CF5510,base_code
DC3687/T499P,,unmapped
CF5451/0,CF5451,base_code
C1B3912-42/1U,C1B3912-42,base_code
6268/0,,unmapped
BK 8212/0,,unmapped
CF1022/1,,unmapped
CT2666/1,CT2666,base_code
CEE3145/1,,unmapped
BK 6239/0,,unmapped
CF5411/U,CF5411,base_code
CT2238/1T,CT2238,base_code
C1B4745A/1,C1B4745A,base_code
6191/36,6191,base_code
CT2828/1,CT2828,base_code
CT3040/1,CT3040,base_code
CEE3952/1,CEE3952,base_code
CF1042/1,,unmapped
17403/01A,,unmapped
CT22156/1,CT22156,base_code
CF1026/1,,unmapped
CT2938/1TK,CT2938,base_code
CT2155/1U,CT2155,base_code
CT2407/1C,CT2407,base_code
C1B4038/1M,C1B4038,base_code
C1B3824/2,C1B3824,base_code
C5T4351A/2,,unmapped
C2B3483/1,C2B3483,base_code
CT2660/1,,unmapped
DC3775/M7,,unmapped
C1B4122A/1,C1B4122A,base_code
BK 8328/0,BK8328,base_code
CF5115/0,CF5115,base_code
16377/01A,,unmapped
BK 8083/B,,unmapped
CF5042/1L,CF5042,base_code
CT22108/1P,CT22108,base_code
1418/0,1418,base_code
BK 8505/TONG,,unmapped
CT2390/1,,unmapped
CEE4316A/1,CEE4316A,base_code
AM0008/1,,unmapped
C4T4131/TT1N,,unmapped
CT2368/0,,unmapped
AMER220011/1P,AMER220011,base_code
CMJ3266/1,CMJ3266,base_code
CT2490/2A,CT2490,base_code
C1B3825/2,C1B3825,base_code
KBDU602H/0,KBDU602H,base_code
CEE4231A/1,CEE4231A,base_code
BK 4359/LR,,unmapped
C1B4440-42/1O,C1B4440-42,base_code
FLF415/TECH,,unmapped
CT1577/GS1LC,CT1577,base_code
CT2472/0,,unmapped
CF5189/0,CF5189,base_code
CEE3264/1T,CEE3264,base_code
FF 10009/0002A,FF10009,base_code
5025/48OO,,unmapped
CT2556/1D,CT2556,base_code
BK 8173/1,,unmapped
2140372/BIEL,2140372,base_code
DK-2656-1/0,,unmapped
1000B/WA,,unmapped
BK 8156/02,,unmapped
CT2795/1,,unmapped
CT2746/1DE,CT2746,base_code
CT2477/0,,unmapped
CT2836/1,CT2836,base_code
CT2718/1,CT2718,base_code
MK1007/0,,unmapped
C991/01,,unmapped
C5T4464-42/TT1,C5T4464-42,base_code
CT2614/2L,CT2614,base_code
CT2624/1,,unmapped
CT1259/1A,CT1259,base_code
CT2499/TT1S,CT2499,base_code
AM0009/0,,unmapped
C4T3654/EFP1,C4T3654,base_code
CF5078/0,CF5078,base_code
CEE4145A/1,CEE4145A,base_code
AM0052/T,,unmapped
C0336F/BC,,unmapped
641SM0693/0,641SM0693,base_code
BK 8120/7291,BK8120,base_code
1853/LU,1853,base_code
C2B4290A/1,C2B4290A,base_code
GG6019-RY/0,GG6019-RY,base_code
DC3922/01,,unmapped
CMJ3164/6,CMJ3164,base_code
C1B3354/1,,unmapped
CT2997/2,CT2997,base_code
CT2483/1,,unmapped
CF5445/0,CF5445,base_code
CT4646/0,CT4646,base_code
3000070269/0,,unmapped
CF5422/0,CF5422,base_code
C2B3302/2,,unmapped
BK 4238/STD,BK4238,base_code
CT2349/1,,unmapped
5475/H350C,,unmapped
CF5432/0,CF5432,base_code
C1B3198/1A,C1B3198,base_code
CT2222/2,CT2222,base_code
RIOSTR-380/1,,unmapped
C1B4024/1,C1B4024,base_code
C2B3615/3,C2B3615,base_code
CT2420/1,,unmapped
FF 10008/0010B,FF10008,base_code
CT2403/1,CT2403,base_code
CF5400D/0,CF5400D,base_code
CT3061/3,,unmapped
CT4418/1,CT4418,base_code
BK 8203/1,,unmapped
C1B3286/1,C1B3286,base_code
C1B3850/1,C1B3850,base_code
2008LONG/PUR,2008LONG,base_code
SK5217F/BV,,unmapped
CT2772/1,CT2772,base_code
CEE4444/6,CEE4444,base_code
C1B3351/1,C1B3351,base_code
BK 8259/0,,unmapped
CT1309/2UA,CT1309,base_code
CT2711/1A,CT2711,base_code
FF78/006,,unmapped
DC3929/0,,unmapped
CF5339/0,CF5339,base_code
CT4377/0,,unmapped
C1B3938/1,C1B3938,base_code
C1B3965/2,C1B3965,base_code
C1B4761A/1,C1B4761A,base_code
GG6028-L/0,,unmapped
CT2888/1,CT2888,base_code
CT2136/4KY3,,unmapped
BK 8321/0,,unmapped
C1D3816/1,C1D3816,base_code
C1B2947/2,,unmapped
C1B4106A/1,C1B4106A,base_code
C1B3149/1,C1B3149,base_code
BK 8235/0,,unmapped
GR7330A/0,,unmapped
13124/01C,,unmapped
CF5483/0,CF5483,base_code
19001/01D1,,unmapped
C1B3874/1,C1B3874,base_code
BK 8516/0,,unmapped
C1B3325/2,C1B3325,base_code
16904/01,,unmapped
CMJ3161/3,CMJ3161,base_code
SK5615F/VB,,unmapped
BK 8366/0,,unmapped
CF5344/0,,unmapped
CEE4297A/1,CEE4297A,base_code
CT2389/1,,unmapped
16903/01,,unmapped
C1B4619A/1,C1B4619A,base_code
CT22110/1,CT22110,base_code
CMR3780/1,CMR3780,base_code
C1B3316/2,C1B3316,base_code
C5T4321A/1,C5T4321A,base_code
BK 8378/0,BK8378,base_code
C1B3982/2,C1B3982,base_code
ML5034P/RP,,unmapped
CT2556/1C,CT2556,base_code
C1B4204B/1,,unmapped
CF5244/0,CF5244,base_code
BK 8443/1,,unmapped
CT2809/1,CT2809,base_code
CT4417/1,CT4417,base_code
C1B3558/1,C1B3558,base_code
CT3148/1,CT3148,base_code
CT2326/1,,unmapped
CT1259/1S,CT1259,base_code
BK 6342/BB,,unmapped
C1B3255/2,C1B3255,base_code
CEE4675A/1,CEE4675A,base_code
JC30/0,JC30,base_code
CF5461/1,CF5461,base_code
CEE4088A/1FS,CEE4088A,base_code
CT3104/1,CT3104,base_code
CT0246/0,CT0246,base_code
DFF200J/0,,unmapped
C1B4025/2,C1B4025,base_code
C1B3225/1,C1B3225,base_code
CEE3896/1,CEE3896,base_code
BK 8475/MNH,,unmapped
CT2513/1,CT2513,base_code
CEE4397A/3,CEE4397A,base_code
CT2212/2,,unmapped
CT3078/3,,unmapped
CT2238/1CU,CT2238,base_code
C2B3324/1,C2B3324,base_code
CT22150/1AK,CT22150,base_code
FF 20001/0006,FF20001,base_code
C1B4190A/1T,C1B4190A,base_code
CEE4143A/1,CEE4143A,base_code
C1B3208/2,C1B3208,base_code
191481-24/0,,unmapped
3000070221/0,,unmapped
CF5208/0,,unmapped
BK 8539/0,,unmapped
CT2376/1,,unmapped
CF5018/0,CF5018,base_code
FLF451/AC,,unmapped
BK 8406/0,,unmapped
19001/01E3,,unmapped
DC3911/0,,unmapped
CT2556/1,CT2556,base_code
CT2495/1,,unmapped
C1B3226/2K,C1B3226,base_code
C1B4285A/1REPV,C1B4285A,base_code
CT1703/TT3V,CT1703,base_code
CT2994/3,,unmapped
IC IS48/0,,unmapped
CF5394/SF1A,CF5394,base_code
C1B4115A/1,C1B4115A,base_code
CF5300/0,CF5300,base_code
CF1055/1,CF1055,base_code
CEE3715/1,CEE3715,base_code
CEE4501A/3,CEE4501A,base_code
CT1309/2K,CT1309,base_code
CT2155/1P,CT2155,base_code
CT22209/VB,,unmapped
OJ-7000/0,,unmapped
CEE3044/1,CEE3044,base_code
C1B3225-42/1TP,C1B3225-42,base_code
BK 8490/0,,unmapped
BK 8432/0,,unmapped
C1B3640/3,C1B3640,base_code
CF2006/0,CF2006,base_code
72762/PH,72762,base_code
BK 8304/0,BK8304,base_code
5050/48O,,unmapped
CT2503/1,,unmapped
C1B4107A/1,C1B4107A,base_code
C1B4748A/2,C1B4748A,base_code
BK 8385/0,,unmapped
CT3005/1,CT3005,base_code
N884/0,,unmapped
C1B3912-42/1,C1B3912-42,base_code
CMR3988/1,CMR3988,base_code
C1B4467A/1,C1B4467A,base_code
C1B4571A/1,C1B4571A,base_code
BK 8508/0,,unmapped
2140372/BC,2140372,base_code
3000131454/1,,unmapped
CT2668/2,,unmapped
SF00370/6621I,,unmapped
AM0012/0,,unmapped
BK 6342/B,,unmapped
CF1003M/0,,unmapped
BK 8218/70830,,unmapped
CF5395/0,,unmapped
CF5334/0,CF5334,base_code
C1B4420A/1,,unmapped
C1B3493/1,C1B3493,base_code
BK 8335/1,,unmapped
1629/0,,unmapped
C1B3144/1,C1B3144,base_code
BK 8426/0,,unmapped
C1B3194/1B,C1B3194,base_code
CEE4794A/1,CEE4794A,base_code
BK 8410/0,,unmapped
C1B4338A/1,C1B4338A,base_code
AM0003/6,,unmapped
CMJ3162/9,CMJ3162,base_code
C1B3679/1A,C1B3679,base_code
CF5434/0,CF5434,base_code
CEE4253A/1T,CEE4253A,base_code
CT2592/1,,unmapped
CT2400/1L,,unmapped
CT2671/2,,unmapped
CT2775/1,CT2775,base_code
C1B4139A/1E,C1B4139A,base_code
CT1477/1PK,CT1477,base_code
CEE3498A/1U,CEE3498A,base_code
CT2742/1,CT2742,base_code
C1B3472/1B,C1B3472,base_code
CMR4344/3C,CMR4344,base_code
BK 8344/0,,unmapped
C1B4125A/1N,C1B4125A,base_code
TN-794-01/2,TN-794-01,base_code
BK 8177/0,,unmapped
CT2726/1,CT2726,base_code
BK 5338/B,,unmapped
CT2730/1,CT2730,base_code
CT2698/2,,unmapped
CEE3434/1,CEE3434,base_code
CF5127/U,CF5127,base_code
CT2570/1,,unmapped
FLF251/M,,unmapped
P-M-1141/2,,unmapped
C1B3599/1,C1B3599,base_code
BK 8462/0,,unmapped
3000070271/1,,unmapped
CT2425/1,,unmapped
C1B3363/1,,unmapped
2140477/I,2140477,base_code
C2B3483/2,C2B3483,base_code
BK 8442/0,,unmapped
FLF633/MI,,unmapped
C5T4351A/1,,unmapped
CT2801/1,CT2801,base_code
CEE2837/18S,CEE2837,base_code
SF00950/6621I,,unmapped
CF1095/0,CF1095,base_code
BK 6618/OW,,unmapped
BK 8440/0,,unmapped
C1B4526A/1,C1B4526A,base_code
CT2198/0,,unmapped
BK 8547/0,,unmapped
C1B4313A/1RECO,C1B4313A,base_code
CF5086/B,CF5086,base_code
CT22121/1D,CT22121,base_code
BK 7044/0,,unmapped
GG6029-NA/0,GG6029-NA,base_code
CEE3436/1,CEE3436,base_code
BK 8499/0,,unmapped
CT3068/1,CT3068,base_code
CF5265-HVY/0,CF5265-HVY,base_code
CF5297/0,CF5297,base_code
AM0025/0,,unmapped
CEE3566/1,CEE3566,base_code
CT2937/1TK,CT2937,base_code
CT1649/2PL,CT1649,base_code
CEE3420/1,CEE3420,base_code
CT2332/01,,unmapped
CF5052/0,CF5052,base_code
CT1477/1U4PT,CT1477,base_code
CF5062/0,CF5062,base_code
180001/STR,180001,base_code
CF5136/0,CF5136,base_code
BK 8205/72900,BK8205,base_code
C4T3383/TT1,C4T3383,base_code
CT2516/2,,unmapped
CF5390/NAT,CF5390,base_code
C1B3268/1,C1B3268,base_code
CF5119/0,CF5119,base_code
2027-2.5/MVS,2027-2.5,base_code
BK 8169/11903,BK8169,base_code
2140395/BIEL,2140395,base_code
BK 8439/0,,unmapped
CF5259/0,CF5259,base_code
CT22107/2D,CT22107,base_code
CT2494/1,CT2494,base_code
BK 7454/A,,unmapped
CT2389/0,,unmapped
16699/01A,,unmapped
C1B3530/1,C1B3530,base_code
BK 8205/B00,BK8205,base_code
C1B4006/1,C1B4006,base_code
CEE4435A/5,CEE4435A,base_code
CEE3717/1,CEE3717,base_code
CF5335/0,CF5335,base_code
C1B4384A/4,C1B4384A,base_code
CF5495/0,CF5495,base_code
C1B3157/1,C1B3157,base_code
CF1096/1,,unmapped
3000070280/0,,unmapped
CF1039/0,,unmapped
BK4988/3813,,unmapped
CEE4611C/1,CEE4611C,base_code
C5T4583A/1,C5T4583A,base_code
CT2996/4,CT2996,base_code
CF5335/NAT,CF5335,base_code
BK 8063/PAT,,unmapped
BK 8475/M,,unmapped
CT2614/2P,CT2614,base_code
CT2874/1,CT2874,base_code
C2B3494/1,C2B3494,base_code
CT22108/1B,CT22108,base_code
DC3983/FBK,,unmapped
BK 8273/A1,,unmapped
AM0013/1,,unmapped
DC4008/0,,unmapped
MK3820K/R26VP,,unmapped
BK 8156/1,,unmapped
3000070268/1,,unmapped
H42015/0,H42015,base_code
C1B4095A/1,C1B4095A,base_code
CF5034/LN20,CF5034,base_code
CEE3703/1,CEE3703,base_code
BK 8403/L,,unmapped
CF5103/0,CF5103,base_code
C1B4378A/1,C1B4378A,base_code
DFF446J/0,DFF446J,base_code
CT1377/1MC,CT1377,base_code
CT2222/1,CT2222,base_code
C0331F/1B,,unmapped
CF5476/0,CF5476,base_code
BK 8482/0,,unmapped
CT2330/2,,unmapped
C1B3318/1,C1B3318,base_code
CT1531/3,CT1531,base_code
701SM0824/0,701SM0824,base_code
CT2692/1,CT2692,base_code
BK 8178/I,,unmapped
AM0031/F,,unmapped
CF5101/1,,unmapped
C1B4312A/2RECU,C1B4312A,base_code
CT2462/1,,unmapped
CF5041/0,CF5041,base_code
BK 8541/0,,unmapped
CT2479/2,,unmapped
DC3950/0,,unmapped
CT1703/TT5U,CT1703,base_code
DFF446R/0,DFF446R,base_code
CF5203/0,CF5203,base_code
CT2604/3L,CT2604,base_code
R41724/0,R41724,base_code
C1B3934A/1,C1B3934A,base_code
C5T4282A/1,C5T4282A,base_code
CMJ3177/5,CMJ3177,base_code
CEE3408/1,CEE3408,base_code
CT1980/2,,unmapped
CF1032/0,,unmapped
CT2972/1AK,CT2972,base_code
CF5047/0,CF5047,base_code
CT2563/1,CT2563,base_code
CF1043/1,,unmapped
CT2500/TT2,,unmapped
CMJ3164/1,CMJ3164,base_code
BK 8404/0,,unmapped
CF5178/0,CF5178,base_code
BK 8187/10011,BK8187,base_code
C1B3312/1,C1B3312,base_code
CSP3323/1,CSP3323,base_code
C2B3114/1,,unmapped
721SM0627/0,721SM0627,base_code
CT1430/1,CT1430,base_code
BK 8120/6712,BK8120,base_code
CT22006-2/1N,,unmapped
SF01032/8391,,unmapped
C1B4110A/1,C1B4110A,base_code
C1B3908/1,C1B3908,base_code
C1135/0,,unmapped
C1B4051/1,C1B4051,base_code
CT2989/1,,unmapped
CEE4318A/1L,CEE4318A,base_code
130000/33P,,unmapped
C1B4673A/1,C1B4673A,base_code
BK 8543/0,,unmapped
MK3018PCTD/30,,unmapped
BK 8418/0,,unmapped
CT2680/3,CT2680,base_code
CT22003-3/40,,unmapped
CF5469/0,CF5469,base_code
AM0034/Z,,unmapped
C0421F/0,,unmapped
CEE3347/1,CEE3347,base_code
CT2503/2,,unmapped
CEE3579/1,CEE3579,base_code
CF1028/0,,unmapped
C4T3569/FEC1,C4T3569,base_code
CT2581/1,,unmapped
CT3003/6,CT3003,base_code
BK 8101/0,BK8101,base_code
BK 6371/F,,unmapped
CT2936/1M,CT2936,base_code
SK5620K/0,,unmapped
C1B4125A/1IN,C1B4125A,base_code
CT22205/0,,unmapped
CF5153/0,CF5153,base_code
3000070186/3024,,unmapped
BK 8120/4610,BK8120,base_code
CMR4555A/1,CMR4555A,base_code
BK 8548/F10,,unmapped
C1B4060/1,C1B4060,base_code
71320/0,71320,base_code
C1B3578/1,C1B3578,base_code
CT2735/1,CT2735,base_code
