Document,Invoice Date,Customer,fStyle#,Yds_ordered,UOM,Unit Price,Line Price,1st Invoice,Sales Rep,Commission,Selling Co,PO#
S2502204,02-26-25,BROOKLYN BEDDING,C1B3194-1,534,yds, $3.98 ," $2,124.13 ",INV0008905,Camilla Franklin,,CT,25642
S2502243,02-26-25,Southerland Inc,C1B3472-1,72,yds, $15.76 ," $1,133.14 ",INV0008900,Julia Dibrell,,CT,1000982
S2502245,02-26-25,Southerland Inc,C1B4338-1,275,yds, $13.38 ," $3,684.85 ",INV0008900,Julia Dibrell,,CT,1000982
S2502132,02-26-25,Pleasant Mattress Inc.,CT2155-1,171,yds, $1.40 , $239.40 ,INV0008904,Camilla Franklin,,CT,150379
S2502246,02-26-25,Southerland Inc,C1B3912-1FS,145,yds, $13.50 ," $1,953.45 ",INV0008900,Julia Dibrell,,CT,1000982
S2502131,02-26-25,Pleasant Mattress Inc.,C1B4014-1,133,yds, $10.45 ," $1,391.94 ",INV0008904,Camilla Franklin,,CT,150379
S2502296,02-26-25,Serta Simmons Bedding Company,70005413,41,yds, $5.69 , $232.15 ,INV0008906,Julia Dibrell,,CT,L8308-100
S2502309,02-27-25,Paramount Industrial Co Inc,CT3085-1FI,214,yds, $4.25 , $908.22 ,INV0008911,Camilla Franklin,,CT,B716-004
S2502311,02-27-25,Serta Simmons Bedding Company,70005413,301,yds, $5.69 ," $1,709.84 ",INV0008912,Julia Dibrell,,CT,L8462-030
S2502315,02-27-25,Serta Simmons Bedding Company,50000183,51,yds, $5.48 , $277.84 ,INV0008913,Julia Dibrell,,CT,L8308-101
S2502313,02-27-25,SEALY INC,CT2155-1,6213,yds, $1.33 ," $8,263.29 ",INV0008915,House,,CT,610-064305-1
S2502314,02-27-25,Serta Simmons Bedding Company,50000174,121,yds, $4.07 , $491.25 ,INV0008913,Julia Dibrell,,CT,L8308-101
S2502301,02-27-25,Serta Simmons Bedding Company,50000182,45,yds, $4.99 , $226.55 ,INV0008909,Julia Dibrell,,CT,L8348-044
S2502305,02-27-25,Paramount Industrial Co Inc,C1B3195-1,219,yds, $11.04 ," $2,413.34 ",INV0008911,Camilla Franklin,,CT,B712-001
S2502304,02-27-25,Serta Simmons Bedding Company,50000182,45,yds, $4.99 , $224.55 ,INV0008910,Julia Dibrell,,CT,L8262-038
S2502303,02-27-25,Serta Simmons Bedding Company,50000174,41,yds, $4.07 , $166.87 ,INV0008909,Julia Dibrell,,CT,L8348-044
S2502302,02-27-25,Serta Simmons Bedding Company,50000183,40,yds, $5.48 , $220.84 ,INV0008909,Julia Dibrell,,CT,L8348-044
S2502317,02-28-25,Serta Simmons Bedding Company,50000182,50,yds, $4.99 , $250.00 ,INV0008920,Julia Dibrell,,CT,L8309-048
S2502130,02-28-25,Prana Sleep,C1B4584-1,288,yds, $6.99 ," $2,014.52 ",INV0008918,Camilla Franklin,,CT,240-004
S2502324,02-28-25,Serta Simmons Bedding Company,50000182,51,yds, $4.99 , $253.49 ,INV0008919,Julia Dibrell,,CT,L8462-031
S2502322,02-28-25,Serta Simmons Bedding Company,50000183,61,yds, $5.48 , $332.64 ,INV0008921,Julia Dibrell,,CT,L8262-039
S2502325,02-28-25,Serta Simmons Bedding Company,70009236,60,yds, $5.95 , $358.19 ,INV0008922,Julia Dibrell,,CT,L8265-041
S2502368,03-03-25,Serta Simmons Bedding Company,50000182,51,yds, $4.99 , $253.49 ,INV0008929,Julia Dibrell,,CT,L8307-056
S2502367,03-03-25,Serta Simmons Bedding Company,50000183,61,yds, $5.48 , $332.09 ,INV0008929,Julia Dibrell,,CT,L8307-056
S2503006,03-04-25,Prana Sleep,C1B4544-1,825,yds, $13.25 ," $10,928.60 ",INV0008932,Camilla Franklin,,CT,240-006
S2503001,03-04-25,JEFFCO FIBRES INC,C1B4312-1,1025,yds, $12.25 ," $12,556.25 ",INV0008930,Julia Dibrell,,CT,2034162
S2503002,03-04-25,Serta Simmons Bedding Company,70005413,169,yds, $5.69 , $959.90 ,INV0008934,Julia Dibrell,,CT,L8308-102
S2503011,03-04-25,Serta Simmons Bedding Company,50000174,121,yds, $4.07 , $492.88 ,INV0008936,Julia Dibrell,,CT,L8265-042
S2503012,03-04-25,Serta Simmons Bedding Company,50000182,41,yds, $4.99 , $202.59 ,INV0008933,Julia Dibrell,,CT,L8359-024
S2503008,03-04-25,Serta Simmons Bedding Company,70005413,401,yds, $5.69 ," $2,283.97 ",INV0008935,Julia Dibrell,,CT,L8306-037
S2503010,03-04-25,Serta Simmons Bedding Company,50000175,40,yds, $5.68 , $228.90 ,INV0008935,Julia Dibrell,,CT,L8306-037
S2503009,03-04-25,Serta Simmons Bedding Company,50000182,41,yds, $4.99 , $204.09 ,INV0008935,Julia Dibrell,,CT,L8306-037
S2503015,03-05-25,SEALY INC,CT2155-1,517,yds, $1.61 , $832.37 ,INV0008940,House,,CT,415-284563-1
S2502362,03-05-25,Reliefmart/Ultrabed,C5T4481-1,436,yds, $12.50 ," $5,453.75 ",INV0008949,Tim Scorziell,2,CT,18499
S2503003,03-05-25,SEALY INC,CT2155-1,526,yds, $1.61 , $846.86 ,INV0008939,House,,CT,415-284088-1
S2502360,03-05-25,Dutch Craft Mattress Co.,C1B4331-1IR,1321,yds, $11.50 ," $15,191.50 ",INV0008948,House,,CT,Eli111424
S2503013,03-05-25,SEALY INC,CT2155-1,512,yds, $1.61 , $824.32 ,INV0008938,House,,CT,415-284384-1
S2502361,03-05-25,Dutch Craft Mattress Co.,C1B4331-1IR,39,yds, $8.65 , $336.49 ,INV0008948,House,,CT,Eli111424
S2502363,03-05-25,Reliefmart/Ultrabed,CT2222-1,325,yds, $7.35 ," $2,390.95 ",INV0008949,Tim Scorziell,2,CT,18525
S2502359,03-06-25,Southerland Inc,CT2155-1,935,yds, $1.33 ," $1,243.55 ",INV0008941,Julia Dibrell,,CT,1001272
S2503029,03-06-25,Serta Simmons Bedding Company,50000182,51,yds, $4.99 , $252.49 ,INV0008942,Julia Dibrell,,CT,L8308-103
S2503027,03-06-25,Serta Simmons Bedding Company,50000174,61,yds, $4.07 , $247.46 ,INV0008942,Julia Dibrell,,CT,L8308-103
S2502165,03-06-25,BROOKLYN BEDDING,CT2556-1,837,yds, $8.08 ," $6,762.15 ",INV0008943,Camilla Franklin,,CT,24755
S2503026,03-06-25,Culp Lava Applied Sewn Solutions,CT2155-1,10128,yds, $1.39 ," $14,077.92 ",INV0008952,Julia Dibrell,,CT,300-630095
S2503033,03-06-25,Serta Restokraft Mattress Co Inc,50000173,121,yds, $3.58 , $433.18 ,INV0008944,Julia Dibrell,,CT,50348
S2503030,03-06-25,Serta Simmons Bedding Company,70005413,41,yds, $5.69 , $232.15 ,INV0008942,Julia Dibrell,,CT,L8308-103
S2503038,03-06-25,Royal Sleep LLC,CT2155-1,622,yds, $1.33 , $827.26 ,INV0008946,Camilla Franklin,,CT,B478-038
S2503028,03-06-25,Serta Simmons Bedding Company,50000176,41,yds, $5.68 , $230.61 ,INV0008942,Julia Dibrell,,CT,L8308-103
S2503032,03-06-25,Serta Restokraft Mattress Co Inc,50000182,51,yds, $4.99 , $253.49 ,INV0008944,Julia Dibrell,,CT,50348
S2503025,03-06-25,Sealy Mattress Co of NJ Inc,CT2155-1,515,yds, $1.61 , $829.15 ,INV0008951,House,,CT,444-004026-1
S2503034,03-06-25,Pleasant Mattress Inc.,CT2653-3,46,yds, $2.95 , $136.29 ,INV0008947,Camilla Franklin,,CT,150715
S2503031,03-06-25,Serta Restokraft Mattress Co Inc,50000174,61,yds, $3.99 , $241.40 ,INV0008944,Julia Dibrell,,CT,50348
S2503037,03-06-25,Serta Simmons Bedding Company,50000183,61,yds, $5.48 , $333.18 ,INV0008945,Julia Dibrell,,CT,L8359-025
S2503016,03-06-25,BROOKLYN BEDDING,C1B3194-1,557,yds, $3.98 ," $2,215.67 ",INV0008943,Camilla Franklin,,CT,27284
S2503017,03-06-25,BROOKLYN BEDDING,CEE4318-1FI,224,yds, $8.75 ," $1,963.50 ",INV0008943,Camilla Franklin,,CT,27284
S2503044,03-07-25,Serta Simmons Bedding Company,50000175,40,yds, $5.68 , $228.34 ,INV0008959,Julia Dibrell,,CT,L8309-049
S2503055,03-07-25,Paramount Industrial Co Inc,C1B4014-1,334,yds, $9.95 ," $3,319.32 ",INV0008960,Camilla Franklin,,CT,B705-009
S2503045,03-07-25,Serta Simmons Bedding Company,50000173,61,yds, $3.66 , $222.89 ,INV0008959,Julia Dibrell,,CT,L8309-049
S2503057,03-07-25,Serta Simmons Bedding Company,50000182,101,yds, $4.99 , $505.99 ,INV0008958,Julia Dibrell,,CT,L8462-032
S2503054,03-07-25,Paramount Industrial Co Inc,CT2155-1,468,yds, $1.33 , $622.44 ,INV0008960,Camilla Franklin,,CT,40499
S2503043,03-07-25,Serta Simmons Bedding Company,50000174,61,yds, $4.07 , $246.64 ,INV0008959,Julia Dibrell,,CT,L8309-049
S2502255,03-07-25,Piedmont Ticking and Feather,CEE3837-1,232,yds, $13.25 ," $3,074.00 ",INV0008961,Camilla Franklin,,CT,RESTP22025
S2503058,03-07-25,Serta Simmons Bedding Company,50000174,61,yds, $4.07 , $246.24 ,INV0008958,Julia Dibrell,,CT,L8462-032
S2503051,03-07-25,Serta Simmons Bedding Company,50000183,55,yds, $5.48 , $301.95 ,INV0008957,Julia Dibrell,,CT,L8308-104
S2503050,03-07-25,Serta Simmons Bedding Company,70005413,82,yds, $5.69 , $464.87 ,INV0008957,Julia Dibrell,,CT,L8308-104
S2503049,03-07-25,Serta Simmons Bedding Company,50000175,30,yds, $5.68 , $170.40 ,INV0008956,Julia Dibrell,,CT,L8314-038
S2503056,03-07-25,Serta Simmons Bedding Company,50000183,61,yds, $5.48 , $333.73 ,INV0008958,Julia Dibrell,,CT,L8462-032
S2503066,03-10-25,JEFFCO FIBRES INC,C1B4312-1,1686,yds, $12.25 ," $20,649.83 ",INV0008963,Julia Dibrell,,CT,2034214
S2503064,03-10-25,JEFFCO FIBRES INC,CT22150-1,1622,yds, $3.90 ," $6,325.80 ",INV0008963,Julia Dibrell,,CT,2034214
S2503080,03-10-25,Prana Sleep,C1B3987-1,1074,yds, $13.75 ," $14,764.75 ",INV0008962,Camilla Franklin,,CT,232-034
S2503065,03-10-25,JEFFCO FIBRES INC,CMR4067-3,1505,yds, $5.80 ," $8,727.26 ",INV0008963,Julia Dibrell,,CT,2034214
S2501457,03-10-25,JEFFCO FIBRES INC,C1B4168-1GOTS,519,yds, $10.60 ," $5,499.28 ",INV0008963,Julia Dibrell,,CT,2033909
S2503102,03-11-25,Serta Simmons Bedding Company,70005413,41,yds, $5.69 , $231.58 ,INV0008973,Julia Dibrell,,CT,L8308-106
S2503073,03-11-25,Serta Simmons Bedding Company,700094134,132,yds, $3.85 , $507.04 ,INV0008975,Julia Dibrell,,CT,L8308-105
S2503084,03-11-25,Serta Simmons Bedding Company,700094134,66,yds, $3.85 , $252.56 ,INV0008977,Julia Dibrell,,CT,L8262-041
S2503078,03-11-25,Serta Simmons Bedding Company,700094133,122,yds, $3.50 , $425.60 ,INV0008980,Julia Dibrell,,CT,L8462-034
S2503079,03-11-25,Serta Simmons Bedding Company,700094134,131,yds, $3.85 , $504.74 ,INV0008980,Julia Dibrell,,CT,L8462-034
S2503087,03-11-25,Serta Simmons Bedding Company,700094133,61,yds, $3.50 , $212.10 ,INV0008968,Julia Dibrell,,CT,L8263-020
S2503082,03-11-25,Serta Simmons Bedding Company,50000174,42,yds, $4.07 , $172.57 ,INV0008972,Julia Dibrell,,CT,L8309-050
S2503088,03-11-25,Serta Simmons Bedding Company,700094134,65,yds, $3.85 , $251.02 ,INV0008968,Julia Dibrell,,CT,L8263-020
S2501250,03-11-25,Lebanon Apparel Corporation,CT0246,1302,yds, $10.50 ," $13,671.00 ",INV0008981,House,,CT,4139
S2503077,03-11-25,Serta Simmons Bedding Company,700094133,61,yds, $3.50 , $212.45 ,INV0008979,Julia Dibrell,,CT,L8269-041
S2503076,03-11-25,Serta Simmons Bedding Company,700094134,66,yds, $3.85 , $252.18 ,INV0008979,Julia Dibrell,,CT,L8269-041
S2503100,03-11-25,Serta Simmons Bedding Company,70005413,310,yds, $5.69 ," $1,765.04 ",INV0008970,Julia Dibrell,,CT,L8306-038
S2503098,03-11-25,Serta Simmons Bedding Company,50000174,75,yds, $4.07 , $303.22 ,INV0008970,Julia Dibrell,,CT,L8306-038
S2503103,03-11-25,Serta Simmons Bedding Company,50000174,61,yds, $4.07 , $246.64 ,INV0008973,Julia Dibrell,,CT,L8308-106
S2503101,03-11-25,Serta Simmons Bedding Company,50000182,46,yds, $4.99 , $229.54 ,INV0008973,Julia Dibrell,,CT,L8308-106
S2503071,03-11-25,Serta Simmons Bedding Company,70005413,82,yds, $5.69 , $464.87 ,INV0008975,Julia Dibrell,,CT,L8308-105
S2503105,03-11-25,Corsicana Bedding,CT2155-1,3868,yds, $1.33 ," $5,144.44 ",INV0008965,Camilla Franklin,,CT,212606-021
S2503085,03-11-25,Serta Simmons Bedding Company,700094133,61,yds, $3.50 , $212.45 ,INV0008977,Julia Dibrell,,CT,L8262-041
S2503083,03-11-25,Serta Simmons Bedding Company,50000173,61,yds, $3.66 , $222.89 ,INV0008972,Julia Dibrell,,CT,L8309-050
S2503075,03-11-25,Serta Simmons Bedding Company,700094134,62,yds, $3.85 , $239.09 ,INV0008971,Julia Dibrell,,CT,L8348-045
S2503067,03-11-25,Serta Simmons Bedding Company,700094133,60,yds, $3.50 , $211.40 ,INV0008969,Julia Dibrell,,CT,L8346-030
S2503069,03-11-25,Serta Simmons Bedding Company,700094133,61,yds, $3.50 , $212.45 ,INV0008976,Julia Dibrell,,CT,L8265-043
S2503099,03-11-25,Serta Simmons Bedding Company,50000173,121,yds, $3.66 , $444.32 ,INV0008970,Julia Dibrell,,CT,L8306-038
S2503096,03-11-25,Serta Simmons Bedding Company,700094134,65,yds, $3.85 , $251.41 ,INV0008970,Julia Dibrell,,CT,L8306-038
S2503060,03-11-25,KING KOIL MANUFACTURING WEST,CT2155-1,4106,yds, $1.33 ," $5,460.98 ",INV0008967,Camilla Franklin,,CT,27076
S2503068,03-11-25,Serta Simmons Bedding Company,700094134,66,yds, $3.85 , $254.10 ,INV0008969,Julia Dibrell,,CT,L8346-030
S2503061,03-11-25,Serta Simmons Bedding Company,50000173,61,yds, $3.66 , $222.53 ,INV0008978,Julia Dibrell,,CT,L8262-040
S2503063,03-11-25,Serta Simmons Bedding Company,50000182,67,yds, $4.99 , $334.33 ,INV0008974,Julia Dibrell,,CT,L8462-033
S2503074,03-11-25,Serta Simmons Bedding Company,700094133,68,yds, $3.50 , $236.60 ,INV0008971,Julia Dibrell,,CT,L8348-045
S2503097,03-11-25,Serta Simmons Bedding Company,700094133,61,yds, $3.50 , $212.45 ,INV0008970,Julia Dibrell,,CT,L8306-038
S2503072,03-11-25,Serta Simmons Bedding Company,700094133,61,yds, $3.50 , $213.15 ,INV0008975,Julia Dibrell,,CT,L8308-105
S2503070,03-11-25,Serta Simmons Bedding Company,700094134,66,yds, $3.85 , $252.95 ,INV0008976,Julia Dibrell,,CT,L8265-043
S2503041,03-12-25,Southerland Inc,C1B4338-1,151,yds, $13.38 ," $2,024.39 ",INV0008986,Julia Dibrell,,CT,1001402
S2503112,03-12-25,Serta Simmons Bedding Company,70005413,81,yds, $5.69 , $463.17 ,INV0008984,Julia Dibrell,,CT,L8308-107
S2503114,03-12-25,Serta Simmons Bedding Company,50000173,40,yds, $3.66 , $147.86 ,INV0008984,Julia Dibrell,,CT,L8308-107
S2503040,03-12-25,Southerland Inc,C1B3912-1FS,280,yds, $13.50 ," $3,785.40 ",INV0008986,Julia Dibrell,,CT,1001402
S2503047,03-12-25,Southerland Inc,C1B3199-1,161,yds, $14.99 ," $2,405.89 ",INV0008987,Julia Dibrell,,CT,1001410
S2503125,03-12-25,SEALY INC,CT2155-1,467,yds, $1.61 , $751.87 ,INV0008985,House,,CT,415-287636-1
S2503106,03-12-25,SEALY INC,CT2155-1,469,yds, $1.61 , $755.09 ,INV0008982,House,,CT,415-287329-1
S2503059,03-12-25,SEALY INC,CT2155-1,6221,yds, $1.33 ," $8,273.93 ",INV0008991,House,,CT,610-064645-1
S2503046,03-12-25,Southerland Inc,CT2266-TT1,539,yds, $9.00 ," $4,851.00 ",INV0008987,Julia Dibrell,,CT,1001410
S2503048,03-12-25,Southerland Inc,C1B3912-1FS,162,yds, $13.50 ," $2,188.35 ",INV0008987,Julia Dibrell,,CT,1001410
S2503124,03-12-25,Lady Americana / Factory Direct,C1B4139-1,301,yds, $4.35 ," $1,307.17 ",INV0008983,Camilla Franklin,,CT,B242-050
S2503144,03-13-25,Serta Simmons Bedding Company,50000183,61,yds, $5.48 , $333.73 ,INV0008999,Julia Dibrell,,CT,L8263-021
S2503138,03-13-25,MIDWEST SLEEP,CT3085-1FI,153,yds, $4.75 , $724.38 ,INV0008993,Camilla Franklin,,CT,25-00073
S2503145,03-13-25,BROOKLYN BEDDING,CT2556-1,779,yds, $8.08 ," $6,291.90 ",INV0008997,Camilla Franklin,,CT,24755
S2503162,03-13-25,Prana Sleep,C1B3987-1,1059,yds, $13.75 ," $14,566.75 ",INV0008992,Camilla Franklin,,CT,232-035
S2503142,03-13-25,SEALY INC,CT2155-1,301,yds, $1.61 , $484.61 ,INV0009000,House,,CT,415-287883-1
S2503141,03-13-25,Sound Sleep,CMJ3177-2,232,yds, $3.50 , $812.70 ,INV0008994,Camilla Franklin,,CT,25-00220
S2503161,03-13-25,Diamond Mattress,CT2155-1,3089,yds, $1.33 ," $4,108.37 ",INV0008996,Camilla Franklin,,CT,B213-301
S2503137,03-13-25,MIDWEST SLEEP,C1B4014-1,64,yds, $10.45 , $671.93 ,INV0008993,Camilla Franklin,,CT,25-00073
S2503143,03-13-25,Serta Simmons Bedding Company,50000182,44,yds, $4.99 , $219.56 ,INV0008999,Julia Dibrell,,CT,L8263-021
S2503139,03-13-25,Pleasant Mattress Inc.,C1B4014-1,225,yds, $10.45 ," $2,352.29 ",INV0008998,Camilla Franklin,,CT,150855
S2502206,03-13-25,BROOKLYN BEDDING,CEE4078-1,482,yds, $10.50 ," $5,058.90 ",INV0008997,Camilla Franklin,,CT,23168
S2503202,03-14-25,Serta Simmons Bedding Company,50000182,46,yds, $4.99 , $227.54 ,INV0009010,Julia Dibrell,,CT,L8462-036
S2503204,03-14-25,Serta Simmons Bedding Company,50000182,45,yds, $4.99 , $224.55 ,INV0009008,Julia Dibrell,,CT,L8265-044
S2503150,03-14-25,Serta Simmons Bedding Company,700094133,61,yds, $3.50 , $212.45 ,INV0009006,Julia Dibrell,,CT,L8307-057
S2503147,03-14-25,Serta Simmons Bedding Company,700094134,65,yds, $3.85 , $251.79 ,INV0009007,Julia Dibrell,,CT,L8349-038
S2503194,03-14-25,Serta Simmons Bedding Company,50000174,41,yds, $4.07 , $167.68 ,INV0009009,Julia Dibrell,,CT,L8262-042
S2503148,03-14-25,Serta Simmons Bedding Company,700094133,61,yds, $3.50 , $212.45 ,INV0009007,Julia Dibrell,,CT,L8349-038
S2503203,03-14-25,Serta Simmons Bedding Company,50000173,61,yds, $3.66 , $222.53 ,INV0009008,Julia Dibrell,,CT,L8265-044
S2503149,03-14-25,Serta Simmons Bedding Company,700094134,65,yds, $3.85 , $251.02 ,INV0009006,Julia Dibrell,,CT,L8307-057
S2503163,03-14-25,SEALY INC,CT2155-1,453,yds, $1.61 , $729.33 ,INV0009005,House,,CT,415-288106-1
S2503159,03-14-25,Serta Simmons Bedding Company,70005413,81,yds, $5.69 , $462.03 ,INV0009004,Julia Dibrell,,CT,L8308-108
S2503160,03-14-25,Serta Simmons Bedding Company,50000175,40,yds, $5.68 , $227.77 ,INV0009004,Julia Dibrell,,CT,L8308-108
S2503158,03-14-25,Serta Simmons Bedding Company,50000182,46,yds, $4.99 , $227.05 ,INV0009011,Julia Dibrell,,CT,L8462-035
S2503199,03-17-25,Serta Simmons Bedding Company,700094133,61,yds, $3.50 , $212.10 ,INV0009018,Julia Dibrell,,CT,L8314-039
S2503214,03-17-25,Serta Simmons Bedding Company,70005413,81,yds, $5.69 , $462.03 ,INV0009020,Julia Dibrell,,CT,L8308-109
S2503200,03-17-25,Serta Simmons Bedding Company,700094134,71,yds, $3.85 , $272.97 ,INV0009018,Julia Dibrell,,CT,L8314-039
S2503197,03-17-25,Serta Simmons Bedding Company,50000182,82,yds, $4.99 , $411.18 ,INV0009019,Julia Dibrell,,CT,L8309-051
S2503196,03-17-25,Serta Simmons Bedding Company,700094133,121,yds, $3.50 , $424.55 ,INV0009019,Julia Dibrell,,CT,L8309-051
S2503195,03-17-25,Serta Simmons Bedding Company,700094134,122,yds, $3.85 , $467.78 ,INV0009019,Julia Dibrell,,CT,L8309-051
S2503201,03-17-25,Serta Simmons Bedding Company,50000175,41,yds, $5.68 , $230.61 ,INV0009018,Julia Dibrell,,CT,L8314-039
S2503198,03-17-25,Serta Simmons Bedding Company,50000173,61,yds, $3.66 , $221.80 ,INV0009018,Julia Dibrell,,CT,L8314-039
S2503215,03-17-25,Serta Simmons Bedding Company,50000174,65,yds, $4.07 , $265.77 ,INV0009020,Julia Dibrell,,CT,L8308-109
S2503213,03-17-25,Serta Simmons Bedding Company,50000173,61,yds, $3.66 , $221.80 ,INV0009020,Julia Dibrell,,CT,L8308-109
S2503207,03-18-25,Serta Simmons Bedding Company,50000183,61,yds, $5.48 , $333.18 ,INV0009023,Julia Dibrell,,CT,L8348-046
S2503227,03-18-25,Serta Simmons Bedding Company,50000183,57,yds, $5.48 , $310.72 ,INV0009026,Julia Dibrell,,CT,L8306-039
S2503217,03-18-25,Serta Simmons Bedding Company,700094134,61,yds, $3.85 , $234.08 ,INV0009024,Julia Dibrell,,CT,L8359-026
S2503224,03-18-25,Serta Simmons Bedding Company,50000174,58,yds, $4.07 , $236.87 ,INV0009026,Julia Dibrell,,CT,L8306-039
S2503228,03-18-25,Serta Simmons Bedding Company,50000182,46,yds, $4.99 , $228.54 ,INV0009027,Julia Dibrell,,CT,L8359-027
S2503222,03-18-25,Serta Simmons Bedding Company,50000175,81,yds, $5.68 , $461.78 ,INV0009028,Julia Dibrell,,CT,L8307-058
S2503223,03-18-25,Serta Simmons Bedding Company,50000183,61,yds, $5.48 , $333.73 ,INV0009029,Julia Dibrell,,CT,L8265-045
S2503220,03-18-25,Serta Simmons Bedding Company,50000182,60,yds, $4.99 , $301.40 ,INV0009025,Julia Dibrell,,CT,L8462-037
S2503226,03-18-25,Serta Simmons Bedding Company,50000173,60,yds, $3.66 , $220.33 ,INV0009026,Julia Dibrell,,CT,L8306-039
S2503208,03-18-25,Serta Simmons Bedding Company,700094134,61,yds, $3.85 , $234.47 ,INV0009023,Julia Dibrell,,CT,L8348-046
S2412246,03-18-25,Earthing / Barefoot Sales Corporation,CT1259-1,2693,yds, $25.65 ," $69,085.71 ",INV0009030,Tim Scorziell,2,CT,303
S2503216,03-18-25,Serta Simmons Bedding Company,700094133,61,yds, $3.50 , $212.45 ,INV0009024,Julia Dibrell,,CT,L8359-026
S2503225,03-18-25,Serta Simmons Bedding Company,70005413,406,yds, $5.69 ," $2,311.85 ",INV0009026,Julia Dibrell,,CT,L8306-039
S2412247,03-18-25,Earthing / Barefoot Sales Corporation,CT2655-1,2494,yds, $6.25 ," $15,585.00 ",INV0009030,Tim Scorziell,2,CT,303
S2503221,03-18-25,Serta Simmons Bedding Company,50000182,45,yds, $4.99 , $224.55 ,INV0009028,Julia Dibrell,,CT,L8307-058
S2503146,03-18-25,Piedmont Ticking and Feather,CEE3837-1,200,yds, $13.25 ," $2,653.98 ",INV0009022,Camilla Franklin,,CT,RESTP22025
S2503209,03-18-25,Serta Simmons Bedding Company,50000182,46,yds, $4.99 , $229.54 ,INV0009023,Julia Dibrell,,CT,L8348-046
S2503218,03-19-25,Prana Sleep,C1B4544-1,304,yds, $13.25 ," $4,028.00 ",INV0009031,Camilla Franklin,,CT,232-036
S2503234,03-19-25,Serta Simmons Bedding Company,50000175,41,yds, $5.68 , $231.18 ,INV0009039,Julia Dibrell,,CT,L8308-110
S2503167,03-19-25,Southerland Inc,C1B3402-1,136,yds, $14.97 ," $2,032.93 ",INV0009044,Julia Dibrell,,CT,1001716
S2503233,03-19-25,Serta Simmons Bedding Company,70005413,81,yds, $5.69 , $462.03 ,INV0009039,Julia Dibrell,,CT,L8308-110
S2503230,03-19-25,Serta Simmons Bedding Company,70009236,62,yds, $5.95 , $366.52 ,INV0009040,Julia Dibrell,,CT,L8262-043
S2503231,03-19-25,SEALY INC,CT2155-1,488,yds, $1.61 , $785.68 ,INV0009041,House,,CT,415-289347-1
S2503235,03-19-25,Serta Mattress Co,50000183,83,yds, $5.48 , $454.84 ,INV0009038,Julia Dibrell,,CT,61793
S2503239,03-19-25,Serta Simmons Bedding Company,50000175,40,yds, $5.68 , $229.47 ,INV0009034,Julia Dibrell,,CT,L8349-039
S2503240,03-19-25,Serta Simmons Bedding Company,50000175,80,yds, $5.68 , $455.54 ,INV0009035,Julia Dibrell,,CT,L8307-059
S2503236,03-19-25,Pleasant Mattress Inc.,CT2155-1,359,yds, $1.40 , $502.60 ,INV0009043,Camilla Franklin,,CT,150938
S2501276,03-19-25,Narcote,CF5388-0,11127,yds, $1.93 ," $21,475.11 ",INV0009032,House,,CT,00007637-00
S2503249,03-19-25,Serta Simmons Bedding Company,50000174,61,yds, $4.07 , $247.46 ,INV0009033,Julia Dibrell,,CT,L8349-040
S2503232,03-19-25,Serta Simmons Bedding Company,50000182,107,yds, $4.99 , $535.93 ,INV0009036,Julia Dibrell,,CT,L8462-038
S2503243,03-20-25,Serta Simmons Bedding Company,70009236,60,yds, $5.95 , $356.41 ,INV0009052,Julia Dibrell,,CT,L8348-047
S2503247,03-20-25,Serta Simmons Bedding Company,50000182,46,yds, $4.99 , $228.54 ,INV0009052,Julia Dibrell,,CT,L8348-047
S2503238,03-20-25,BROOKLYN BEDDING,CEE4078-2,179,yds, $10.50 ," $1,877.40 ",INV0009049,Camilla Franklin,,CT,21397
S2503264,03-20-25,Serta Simmons Bedding Company,70005413,81,yds, $5.69 , $460.89 ,INV0009051,Julia Dibrell,,CT,L8308-111
S2503241,03-20-25,Serta Simmons Bedding Company,50000175,41,yds, $5.68 , $230.04 ,INV0009052,Julia Dibrell,,CT,L8348-047
S2503237,03-20-25,BROOKLYN BEDDING,CEE4078-2,428,yds, $10.50 ," $4,494.00 ",INV0009049,Camilla Franklin,,CT,23168
S2503244,03-20-25,Serta Simmons Bedding Company,50000173,39,yds, $3.66 , $143.47 ,INV0009052,Julia Dibrell,,CT,L8348-047
S2503263,03-20-25,Serta Simmons Bedding Company,50000174,53,yds, $4.07 , $216.12 ,INV0009051,Julia Dibrell,,CT,L8308-111
S2503267,03-20-25,Serta Simmons Bedding Company,50000182,45,yds, $4.99 , $224.55 ,INV0009042,Julia Dibrell,,CT,L8307-060
S2503245,03-20-25,Serta Simmons Bedding Company,50000176,41,yds, $5.68 , $230.61 ,INV0009052,Julia Dibrell,,CT,L8348-047
S2503242,03-20-25,Serta Simmons Bedding Company,50000174,61,yds, $4.07 , $247.46 ,INV0009052,Julia Dibrell,,CT,L8348-047
S2502207,03-20-25,BROOKLYN BEDDING,CEE4078-2,904,yds, $10.50 ," $9,493.05 ",INV0009049,Camilla Franklin,,CT,23670
S2503248,03-20-25,SEALY INC,CT2155-1,499,yds, $1.61 , $803.39 ,INV0009050,House,,CT,415-289617-1
S2503295,03-21-25,Serta Simmons Bedding Company,50000182,45,yds, $4.99 , $224.55 ,INV0009055,Julia Dibrell,,CT,L8314-040
