Style,KO,Yarn,Percentage,This Week,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Week 44,Later,Total
CEE4795A/1,K2508014,18615,13.87,6.935,,,,,,,,,,6.935
CEE4795A/1,K2508014,18865,10.27,5.135,,,,,,,,,,5.135
CEE4795A/1,K2508014,18929,2.22,1.11,,,,,,,,,,1.11
CEE4797A/1,K2508015,12526,34.64,17.32,,,,,,,,,,17.32
CEE4797A/1,K2508015,18372,14.99,7.495,,,,,,,,,,7.495
CEE4797A/1,K2508015,18376,8.85,4.425,,,,,,,,,,4.425
CEE4797A/1,K2508015,18452,14.99,7.495,,,,,,,,,,7.495
CEE4797A/1,K2508015,18594,14.99,7.495,,,,,,,,,,7.495
CEE4797A/1,K2508015,18865,11.54,5.77,,,,,,,,,,5.77
CF5092/1,K2507056,18845,100.0,1250.45993831764,1528.33992461045,1528.33992461045,1528.33992461045,1528.33992461045,1528.33992461045,1528.33992461045,1528.33992461045,950.960589409187,,12899.8
CF5105/0,K2506051,18575,100.0,1517.6,,,,,,,,,,1517.6
CF5105/OE,K2508032,18694,100.0,0.399999999999977,,,,,,,,,,0.399999999999977
CF5136/0,K2508022,18638,100.0,39.5999999999999,,,,,,,,,,39.5999999999999
CF5138/0,K2508023,18638,100.0,69.3,,,,,,,,,,69.3
CF5261/STR,K2501088,18903,100.0,,,,,1106.33940550685,1738.53335151077,1738.53335151077,1738.53335151077,1738.53335151077,1219.52718845008,9280.0
CF5261/STR,K2501089,18903,100.0,,,,,1106.33940550685,1738.53335151077,1738.53335151077,1738.53335151077,1738.53335151077,655.327188450081,8715.8
CF5261/STR,K2501090,18903,100.0,,,,,1106.33940550685,1738.53335151077,1738.53335151077,1738.53335151077,1738.53335151077,1219.52718845008,9280.0
CF5263/L,K2506102,18788,100.0,,,,279.602613962817,1025.20958453033,1025.20958453033,1025.20958453033,124.768632446195,,,3480.0
CF5304/0,K2508060,18788,100.0,580.0,,,,,,,,,,580.0
CF5305/0,K2508059,13545,8.1,0.332100000000002,,,,,,,,,,0.332100000000002
CF5305/0,K2508059,13777,1.4,0.0574000000000003,,,,,,,,,,0.0574000000000003
CF5305/0,K2508059,18824,90.5,3.71050000000002,,,,,,,,,,3.71050000000002
CF5321/LYC,K2505060,13545,15.3,0.0612000000000009,,,,,,,,,,0.0612000000000009
CF5321/LYC,K2505060,18517,84.7,0.338800000000005,,,,,,,,,,0.338800000000005
CF5321/M2125,K2505049,18517,84.7,64.5414,,,,,,,,,,64.5414
CF5321/M2125,K2505049,18974,15.3,11.6586,,,,,,,,,,11.6586
CF5430/0,K2508072,13560,2.6,0.3068,,,,,,,,,,0.3068
CF5432/0,K2409094,13561,2.0,0.0240000000000001,,,,,,,,,,0.0240000000000001
CF5432/0,K2409094,18573,20.7,0.248400000000001,,,,,,,,,,0.248400000000001
CF5432/0,K2409094,18732,26.8,0.321600000000001,,,,,,,,,,0.321600000000001
CF5432/0,K2409094,18804,50.5,0.606000000000001,,,,,,,,,,0.606000000000001
CF5434/0,K2409095,13561,2.1,0.00629999999999994,,,,,,,,,,0.00629999999999994
CF5434/0,K2409095,18573,21.8,0.0653999999999994,,,,,,,,,,0.0653999999999994
CF5434/0,K2409095,18804,76.1,0.228299999999998,,,,,,,,,,0.228299999999998
CF5439/0,K2411029,18811,50.0,1.6,,,,,,,,,,1.6
CF5439/0,K2411029,18813,50.0,1.6,,,,,,,,,,1.6
CF5451/0,K2412008,13561,3.3,0.00989999999999991,,,,,,,,,,0.00989999999999991
CF5451/0,K2412008,18774,96.7,0.290099999999997,,,,,,,,,,0.290099999999997
CF5462/0,K2412014,18334,16.3,0.146700000000001,,,,,,,,,,0.146700000000001
CF5462/0,K2412014,18573,82.6,0.743400000000005,,,,,,,,,,0.743400000000005
CF5462/0,K2412014,18599,1.1,0.00990000000000006,,,,,,,,,,0.00990000000000006
CF5463/0,K2412023,13561,1.7,0.0408,,,,,,,,,,0.0408
CF5463/0,K2412023,14223,53.6,1.2864,,,,,,,,,,1.2864
CF5463/0,K2412023,18573,44.7,1.0728,,,,,,,,,,1.0728
CF5474/R,K2508035,19095,100.0,300.3,,,,,,,,,,300.3
CF5475/R,K2508036,19095,100.0,1160.0,,,,,,,,,,1160.0
CF5476/0,K2508084,18745,75.0,150.0,,,,,,,,,,150.0
CF5476/0,K2508084,18817,25.0,50.0,,,,,,,,,,50.0
CF5482/0,K2503041,13545,18.3,0.5856,,,,,,,,,,0.5856
