Status,SO #,CSR,Price,Quoted Date,fStyle#,Style#,UOM,Ordered,Picked/Shipped,Balance,Available,SOP,PO #,Customer,Ship To,Ship Date
Open,S2508222,Brittany Lee,$5.48 ,8/15/2025,50000183,C1B4125-1/0,yds,30,0.0,30.0,250.1,SP2508100/2,L8462-075,Serta Simmons Bedding Company,SSBMF - HAZLETON,
Open,S2508081,Brittany Lee,$5.48 ,8/7/2025,50000183,C1B4125-1/0,yds,30,0.0,30.0,250.1,SP2508038/1,L8462-072,Serta Simmons Bedding Company,SSBMF - HAZLETON,
Open,S2507439,Brittany Lee,$5.48 ,7/29/2025,50000183,C1B4125-1/0,yds,80,0.0,80.0,250.1,SP2507205/2,L8269-057,Serta Simmons Bedding Company,SSBMF - SEATTLE,
Open,S2508112,Brittany Lee,$5.48 ,8/11/2025,50000183,C1B4125-1/0,yds,30,0.0,30.0,250.1,SP2508054/2,L8462-073,Serta Simmons Bedding Company,SSBMF - HAZLETON,
Open,S2507408,Brittany Lee,$5.48 ,7/25/2025,50000183,C1B4125-1/0,yds,55,0.0,55.0,250.1,SP2507190/4,L8309-075,Serta Simmons Bedding Company,SSBMF - MONROE,
Open,S2507389,Brittany Lee,$5.48 ,7/24/2025,50000183,C1B4125-1/0,yds,60,0.0,60.0,250.1,SP2507182/2,L8462-069,Serta Simmons Bedding Company,SSBMF - HAZLETON,
Open,S2508110,Brittany Lee,$5.48 ,8/11/2025,50000183,C1B4125-1/0,yds,80,0.0,80.0,250.1,SP2508053/1,L8348-079,Serta Simmons Bedding Company,SSBMF - Cullman,
Open,S2508198,Brittany Lee,$5.48 ,8/14/2025,50000183,C1B4125-1/0,yds,40,0.0,40.0,250.1,SP2508088/3,L8263-048,Serta Simmons Bedding Company,SSBMF - PHOENIX,
Open,S2508194,Brittany Lee,$5.48 ,8/14/2025,50000183,C1B4125-1/0,yds,120,0.0,120.0,250.1,SP2508087/1,L8349-061,Serta Simmons Bedding Company,SSBMF - GREENE COUNTY,
Open,S2508013,Brittany Lee,$5.48 ,8/4/2025,50000183,C1B4125-1/0,yds,40,0.0,40.0,250.1,SP2508005/1,L8314-060,Serta Simmons Bedding Company,SSBMF - JAMESTOWN,
Open,S2507303,Brittany Lee,$9.95 ,7/31/2025,C1B4440-1,C1B4440-1/42INCH,yds,500,0.0,500.0,30.2,SP2507142/2,00123925,Dynasty Consolidated DBA Sleeptronic,Sleeptronic,
