Yarn_ID,BOM_Count,Affected_Styles,Style_List,Total_Percentage,Avg_Percentage
18618.0,99,97,"C1B3203/YARN TRIAL, C1B3646/1, C1B3987C/2, C1B3987C/2L, C1B4039/1",12.41,0.12535353535353536
18164.0,99,98,"C1B3242/2, C1B3271/1, C1B3306/13, C1B3400/1, C1B3524/1",15.62,0.15777777777777777
11999.0,99,88,"C1B3212/3, C1B3240/1, C1B3530/4, CE3041/1, CEE3636/1",16.509999999999998,0.16676767676767676
13560.0,96,94,"1418/0, CF5082/0, CF5113/0, CF5260/L, CF5264-SIG/0",10.23,0.1065625
18615.0,93,90,"C1B3315/1, C1B3330/1, C1B3399/1, C1B3474/1, C1B3529/2",17.35,0.18655913978494626
18569.0,91,85,"C1B3245/1, C1B4039/1T, C1B4494A/1, C1B4495A/1, C5T3508/TT1",19.569999999999997,0.21505494505494502
18297.0,89,73,"BK 8334/2, C1B3588/1, C1B3622/3, C1B3624/1, C1B3624/2",19.32,0.21707865168539325
6083.0,89,86,"AMER220010/1, AMER220010/1U, BK 3066/0, CT1259/1, CT2126/1",13.950000000000001,0.15674157303370786
18261.0,88,75,"BK 8334/0, C1B4508A/1, CEE3421/1, CEE3421/2, CMR3158/5",24.549999999999997,0.2789772727272727
18478.0,86,70,"CMR3988/1, CT22112/1A, CT22121/1M, CT22121/1O, CT22121/1S",14.05,0.1633720930232558
18559.0,86,84,"C1B3167/2, C1B3281/1, C1B3316/1, C1B3517/1, C1B3524/2",16.25,0.18895348837209303
18372.0,83,52,"C1B3225-42/1B, C1B3299/1S, C1B4014/1D, C1B4125A/1B, C1B4125A/1CO",14.770000000000003,0.1779518072289157
14329.0,79,79,"3000250846/0, 4000169787/22, BK 8294/0, BK 8346/0, BK 8347/0",23.810000000000002,0.3013924050632912
18566.0,77,68,"C1B3195/1, C1B3351/1, C1B3396/1, CF5087/0, CF5172/0",14.61,0.18974025974025974
18453.0,76,76,"C1B3798/1, C1B3802/1, C1B3806/1, C1B3881/1, C1B3883/1",12.03,0.1582894736842105
18037.0,76,76,"CT1320/2KNB, CT1195/1N, CT1320/2KNI, CT2325/1, CT2483/1C",31.580000000000002,0.4155263157894737
18290.0,75,73,"661SM0781/0, C1B3242/1, C1B3982/2, C1B4094C/2, C2B3221/1",12.040000000000003,0.16053333333333336
18426.0,73,64,"C1B3652/1, C1B3694/1, C1B3872/1, C1B4420A/1, CEE3952/1",25.98,0.3558904109589041
18475.0,71,70,"C1B3205/1, CT2844/1, CT3148/1, CEE2745/18s, CEE2745/1TKU",9.11,0.12830985915492957
18442.0,71,64,"C1B3234/1, C1B3292/2, C1B3297/2, C1B3640/4, C1B3732/1",17.52,0.24676056338028168
18332.0,70,64,"C1B3623/1, C1B3641/1, C1B4081A/1, C2B3262/1, C4T3383/TT1",15.38,0.21971428571428572
18413.0,70,66,"CT22150/1S, CT22150/WD, CT2577/1, CT2605/1, CT2605/2",17.94,0.2562857142857143
18050.0,70,54,"C1B3200/1, CT2669/1, CT2723/1, CT2726/1, CT2742/1",9.270000000000003,0.13242857142857148
18669.0,69,43,"1853/L, 1942/0, 2912/0, CF5056/0, CF5057/0",24.849999999999998,0.36014492753623184
18713.0,66,57,"C1B3547/1, C1B3548/1, C1B3549/1, C1B3704/1, C1B3914/1",14.4,0.2181818181818182
18929.0,64,64,"CEE4473A/1, CEE4585A/1, 125792/1, C4T4131/TT1L, C5T4353-42/TT1C",0.8300000000000001,0.012968750000000001
18307.0,62,62,"C1B3307/1, C1B3402/1D, C1B3912-42/1L, C1B3912/1D, C1B3912/1P",7.130000000000002,0.11500000000000003
18673.0,61,57,"C1B3622/2, C1B3640/6, C1B3884/2, C1B3966/1, C1B4025/2",10.11,0.16573770491803277
18011.0,60,60,"C2T3196/TT1, CT1026/TT1DK, CT1243/TT3A, CT2266/TT1NN, CT2271/TT1",22.29,0.3715
18046.0,60,60,"C5T3296/2, CT22000/1, CT22003-1/40, CT22006/1, CT2293-2/1",16.14,0.269
18208.0,59,57,"C1B4284A/1, C2B4196/1P, C4T3381/TT1, C4T3384/TT1, CEE3436/1",12.13,0.20559322033898306
14306.0,59,59,"4000169789/0, BK 8084/B, BK 8385/0, BK 8452/0, BK 8458/0",22.85,0.38728813559322034
13527.0,59,36,"16998/01B, FF 25000/0003, FF 25001/0003,  FF 10006/0003,  FF 10006/0003B",18.43,0.3123728813559322
18334.0,58,57,"2040073/0, 2040074/0, 2140370/0, 2140370/BC2, 2140370/BX",47.949999999999996,0.8267241379310344
18605.0,56,50,"C1B3230/1, C1B3343/1, C1B3637/1, C7T3290/TT2, CEE3355/1",13.16,0.23500000000000001
18062.0,56,55,"600000/3018, 70798/0, 12130/01W, 12635/01AK, 12635/01AL",3.5100000000000002,0.06267857142857143
12243.0,56,56,"BK 7486/07780, BK 7486/09730, BK 7486/34180, BK 7486/4091, BK 7486/6712",2.81,0.05017857142857143
18646.0,55,48,"C1B3195/1B, C1B4332A/1K, C1B4571A/1A, C1B4571A/1B, C1B4571A/1D",8.54,0.15527272727272726
18650.0,55,52,"C1B3195/1D, C1B3195/1T, C1B4322A/1V, C2B4182A/1, C2B4199A/1BKT",6.149999999999999,0.11181818181818179
18375.0,55,54,"C1B4204B/1, CEE4046/1T, CF5148/0, CT1838/1D, CT2113/2KY3D",15.270000000000001,0.2776363636363637
18573.0,54,49,"CF1088/1, CF1088/2, CF1088N/1T, CF5049/0, CF5133/0",21.99,0.4072222222222222
14133.0,53,52,"BK 8083/B, BK 8239/0, BK 8256/0, BK 8257/0, BK 8267/0",24.41,0.46056603773584903
18110.0,52,47,"8 PATTERN KNIT DOWN/BLANK, BK 8318/0, BK 8321/0, BK 8327/0, BK 8329/0",18.119999999999997,0.34846153846153843
13258.0,51,34,"12130/01W, 12636/01U, 15546/01A, 15547/01A, FF 25000/0006",17.639999999999997,0.3458823529411764
18467.0,51,38,"C1B3198/1PP, C1B3198/1T, C1B3199/1P, C1B3225-42/1TP, C1B3225/1TP",8.74,0.17137254901960786
18454.0,50,43,"C1B3240/2, C1B4343A/1, CEE3546/3, CEE3919/1, CEE4593A/1",10.719999999999999,0.21439999999999998
9296.0,50,30,"721SM0627/0, 751SM0780/9296, BK 5425/0, BK 8287/1, BK 8287/2",11.400000000000002,0.22800000000000004
14739.0,49,46,"3000136085/0, 4000292760/0, 4000308948/0, BK 8411/MVSV, BK 8433/MM",22.92,0.4677551020408164
18894.0,49,44,"C1B3194/1D, C1B3402-42/1D, C1B4033/1N, C1B4038/1D, C1B4125A/1C",6.430000000000001,0.1312244897959184
18614.0,48,44,"C1B3194/7, C1B3283/1, C1B3707/1, C1B4438A/1, C2B3244/1",10.09,0.21020833333333333
18644.0,48,33,"CF5412A/0, CF5412B/0, CF5412C/0, C1B3213/CTT1, C4T3759/FER1",11.34,0.23625
9810.0,48,23,"1000B/AA, 1000B/WA, BK 3785R/0, BK 4359/LR, BK 4867/A",10.57,0.22020833333333334
14242.0,48,26,"6191/36, 6191/3630, 6191/3630L, 6191/36L, 72762/P",19.82,0.41291666666666665
18468.0,48,42,"BK 3066/C, CT22121/1CS, CT22150/1WNC, CT2407/1C, CT2601/1",7.450000000000001,0.15520833333333336
13992.0,47,47,"BK 8147/1, BK 8266/0, CT22205/0, MK1001/01, MK1002/01",18.009999999999998,0.3831914893617021
18306.0,47,43,"AMER220003/1PNP, AMER220004/01, AMER220010/2, AMER220011/1L, AMER220011/1N",9.24,0.19659574468085106
18575.0,47,33,"210722/1, 4654 KD/0, BK 8420/0, BK 8479/0, BK 8523/0",21.71999999999999,0.4621276595744679
18406.0,46,44,"C1B2947/2, CF1055/1, CF5156/0, CF5173/0, CT2574/1",4.8999999999999995,0.10652173913043476
18629.0,46,45,"C1B3230/3, C1B3991/1, C1B4715A/1, C2B4163A/1, CEE3273/1B",7.819999999999999,0.16999999999999998
14279.0,46,46,"13124/01C, 12635/01AK, 12635/01AL, 13124/01B, 13164/01A",12.55,0.2728260869565218
18327.0,45,43,"BK 8334/3, C2B3055/2, C2B3494/2, CMR3158/3, CMR3158/4",14.210000000000003,0.3157777777777778
14280.0,44,44,"12635/01AK, 12635/01AL, 13865/01, 12042/02D, 12042EE/02",0.5900000000000001,0.01340909090909091
11762.0,44,27,"12635/01AK, 14258/01A, 14259/01A, 13124/01A, 13124/01B",13.82,0.3140909090909091
18876.0,43,19,"C1B4137A/1D, C1B4166A/1, C1B4167A/1, C1B4168A/1, C1B4168A/1L",10.32,0.24000000000000002
4009.0,42,39,"1540009/5254, 1540009/5254X, BK 8152/1, BK 8155/02, BK 8155/1",30.189999999999998,0.7188095238095238
18229.0,41,41,"C1B4279A/1, CE3041/2, CEE3928/3, CEE4757A/1, CT2400/2L",5.2299999999999995,0.1275609756097561
4005.0,41,41,"1538745/4060S, 1540009/5254I, BK 8172/0, BK 8174/0, BK 8184/0",20.769999999999996,0.5065853658536584
18414.0,40,40,"CT2546/2, CT2547/1, C1B4689A/1, CT2546/1, CT2579/1",16.47,0.41174999999999995
18363.0,40,37,"BK 8109/0, BK 8110/73000, BK 8110/C, BK 8110/M, BK 8110/S",7.8100000000000005,0.19525
18145.0,40,34,"CT1433/2C, CT1433/2K, CT1433/2U, CT2131/3, CT2295/1",10.63,0.26575000000000004
12701.0,40,40,"CT1843/TT1, CT2397/1, CT2459/1, CT2509/1, CT2534/1",5.83,0.14575
11913.0,40,38,"C1B3194/2, C1B3292/1, C1B3297/1, C1B3369/2, C1B3405/1",8.22,0.20550000000000002
13472.0,40,40,"5050/NAT, CF1042/1, CF1043/1, CF1045/0, CF1049/0",11.04,0.27599999999999997
18737.0,39,39,"CEE2745/1TKU, CEE2746/1U, CEE2748/1U, CEE2748/1UU, CEE2749/1TK",4.19,0.10743589743589745
14830.0,39,38,"4000296279/12, 4000306817/12, 4000306818/12, 4000308052/0, BK 8499/0",31.649999999999995,0.8115384615384614
18024.0,39,39,"BK 7385/72900, BK 7385/76100, BK 8162/1, BK 8169/11600, BK 8223/08300",6.24,0.16
18658.0,39,39,"3177FLAMEFENCE/0, C4T3358/TT1, C4T3359/TT1, C4T3360/TT1, C4T3361/TT1",14.22,0.3646153846153846
12116.0,39,37,"C1B3934A/1, C1B3942/1, C2B4108A/1, CEE3408/1, CEE4299A/1",5.9399999999999995,0.15230769230769228
18517.0,39,38,"BK 8352/0, BK 8354/0, BK 8366/0, CF1062/0, CF1077/0",17.23999999999999,0.4420512820512818
18757.0,39,39,"C1B4015/1, C1B4070/1, C1B4073/1, C4T4132/TT1, CEE2839/1TK",5.820000000000001,0.14923076923076925
18832.0,38,26,"c1b4306a/1, C1B4310A/1, C2B4079A/2L, C1B3941/1C, C1B3941/1T",7.71,0.20289473684210527
14764.0,38,32,"4000110588/0, 4000296280/0, BK 8453/0, BK 8454/0, BK 8468/0",17.489999999999995,0.4602631578947367
18679.0,37,24,"C1B4410A/1, C1B4410A/1B, C1B4410A/1D, CEE3502X/1C20, CEE4181A/0",6.45,0.17432432432432432
