Style,Yarn,Percentage,This Week,Week 36,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Later,Total
CF5263/L,18788,100,,,,,279.6,"1,025.2","1,025.2","1,025.2",124.8,,"3,480.0"
CF5304/0,18788,100,580.0,,,,,,,,,,580.0
CF5305/0,13545,8.1,0.3,,,,,,,,,,0.3
CF5305/0,13777,1.4,0.1,,,,,,,,,,0.1
CF5305/0,18824,90.5,3.7,,,,,,,,,,3.7
CF5321/LYC,13545,15.3,0.1,,,,,,,,,,0.1
CF5321/LYC,18517,84.7,0.3,,,,,,,,,,0.3
CF5321/M2125,18517,84.7,64.5,,,,,,,,,,64.5
CF5321/M2125,18974,15.3,11.7,,,,,,,,,,11.7
CF5405/0,13561,2.7,,,,,,,,,,,0.0
CF5405/0,18811,97.3,,,,,,,,,,,0.0
CF5424/0,13561,1.5,,,,,,,,,,,0.0
CF5424/0,18573,45.3,,,,,,,,,,,0.0
CF5424/0,18804,53.2,,,,,,,,,,,0.0
CF5430/0,13560,2.6,0.3,,,,,,,,,,0.3
CF5432/0,13561,2,0.0,,,,,,,,,,0.0
CF5432/0,18573,20.7,0.2,,,,,,,,,,0.2
CF5432/0,18732,26.8,0.3,,,,,,,,,,0.3
CF5432/0,18804,50.5,0.6,,,,,,,,,,0.6
CF5433/0,13561,2.2,,,,,,,,,,,0.0
CF5433/0,18795,44.4,,,,,,,,,,,0.0
CF5433/0,18804,53.4,,,,,,,,,,,0.0
CF5434/0,13561,2.1,0.0,,,,,,,,,,0.0
CF5434/0,18573,21.8,0.1,,,,,,,,,,0.1
CF5434/0,18804,76.1,0.2,,,,,,,,,,0.2
CF5439/0,18811,50,1.6,,,,,,,,,,1.6
CF5439/0,18813,50,1.6,,,,,,,,,,1.6
CF5439/BKT2,18811,50,,,,,,,,,,,0.0
CF5439/BKT2,18813,50,,,,,,,,,,,0.0
CF5446/0,13794,29.2,,,,,,,,,,,0.0
CF5446/0,18573,20.4,,,,,,,,,,,0.0
CF5446/0,18732,28.8,,,,,,,,,,,0.0
CF5446/0,18763,21.6,,,,,,,,,,,0.0
CF5451/0,13561,3.3,0.0,,,,,,,,,,0.0
CF5451/0,18774,96.7,0.3,,,,,,,,,,0.3
CF5461/1,13561,2.9,,,,,,,,,,,0.0
CF5461/1,14242,32.7,,,,,,,,,,,0.0
CF5461/1,18419,20.7,,,,,,,,,,,0.0
CF5461/1,18573,43.7,,,,,,,,,,,0.0
CF5461/2,13561,2.9,,,,,,,,,,,0.0
CF5461/2,14242,32.7,,,,,,,,,,,0.0
CF5461/2,18024,20.7,,,,,,,,,,,0.0
CF5461/2,18573,43.7,,,,,,,,,,,0.0
CF5462/0,18334,16.3,0.1,,,,,,,,,,0.1
CF5462/0,18573,82.6,0.7,,,,,,,,,,0.7
CF5462/0,18599,1.1,0.0,,,,,,,,,,0.0
CF5463/0,13561,1.7,0.0,,,,,,,,,,0.0
CF5463/0,14223,53.6,1.3,,,,,,,,,,1.3
CF5463/0,18573,44.7,1.1,,,,,,,,,,1.1
CF5474/R,19095,100,"1,602.4",76.3,,,,,,,,,"1,678.7"
CF5475/R,19095,100,"1,160.0",,,,,,,,,,"1,160.0"
CF5476/0,18745,75,150.0,,,,,,,,,,150.0
CF5476/0,18817,25,50.0,,,,,,,,,,50.0
CF5482/0,13545,18.3,0.6,,,,,,,,,,0.6
CF5482/0,18415,81.7,2.6,,,,,,,,,,2.6
CF5487/0,13561,1.7,0.3,,,,,,,,,,0.3
CF5487/0,18573,66,13.1,,,,,,,,,,13.1
CF5487/0,19031,32.3,6.4,,,,,,,,,,6.4
CF5488/0,13545,17.5,,,,,,,,,,,0.0
CF5488/0,18415,82.5,,,,,,,,,,,0.0
CF5491/0,9296,76.2,,,,,,,,,,,0.0
CF5491/0,12150,23.8,,,,,,,,,,,0.0
CF5491/NAT48,18865,23.8,,,,,,,,,,,0.0
CF5491/NAT48,19077,76.2,,,,,,,,,,,0.0
CF5491/SP,18865,23.8,,,,,,,,,,,0.0
CF5491/SP,19077,76.2,,,,,,,,,,,0.0
CF5491/SPT,18865,23.8,,,,,,,,,,,0.0
CF5491/SPT,19077,76.2,,,,,,,,,,,0.0
CF5491/SPTL,18865,23.8,,,,,,,,,,,0.0
CF5491/SPTL,19077,76.2,,,,,,,,,,,0.0
CF5493/0,9296,100,,,,,,,,,,,0.0
CF5493/NAT48,19077,100,,,,,,,,,,,0.0
CF5493/SP,19077,100,,,,,,,,,,,0.0
CF5493/SPL,19077,100,,,,,,,,,,,0.0
CF5493/SPLL,19077,100,,,,,,,,,,,0.0
CF5502/0,18993,100,,,,,,,,,,,0.0
CF5506/0,19062,100,476.4,723.6,,,,,,,,,"1,200.0"
CF5509/0,13560,0.9,,,,,,,,,,,0.0
CF5509/0,18612,99.1,,,,,,,,,,,0.0
CF5513/0,11648,6.1,1.8,,,,,,,,,,1.8
CF5513/0,18282,86.6,26.0,,,,,,,,,,26.0
CF5513/0,18599,7.3,2.2,,,,,,,,,,2.2
CF5513/T,11648,6.1,3.1,,,,,,,,,,3.1
CF5513/T,18282,86.6,43.3,,,,,,,,,,43.3
CF5513/T,18599,7.3,3.7,,,,,,,,,,3.7
CF5517/0,13545,15.78,,,,,,,,,,,0.0
CF5517/0,18903,84.22,,,,,,,,,,,0.0
CF5518/0,18903,77.78,,,,,,,,,,,0.0
CF5518/0,18974,22.22,,,,,,,,,,,0.0
CF5519/0,18903,77.78,37.4,,,,,,,,,,37.4
CF5519/0,19093,22.22,10.7,,,,,,,,,,10.7
CF5520/0,18903,83.3,,,,,,,,,,,0.0
CF5520/0,18974,16.7,,,,,,,,,,,0.0
CF5522/0,18415,71.43,1.3,,,,,,,,,,1.3
CF5522/0,18974,28.57,0.5,,,,,,,,,,0.5
CF5523/0,18517,85.11,,,,,,,,,,,0.0
CF5523/0,18974,14.89,,,,,,,,,,,0.0
CF5524/0,8351,22.04,54.9,,,,,,,,,,54.9
CF5524/0,11927,55.57,138.4,,,,,,,,,,138.4
CF5524/0,12428,22.39,55.8,,,,,,,,,,55.8
CF5525/0,18415,71.43,1.5,,,,,,,,,,1.5
CF5525/0,19093,28.57,0.6,,,,,,,,,,0.6
CF5526/0,19062,100,40.0,,,,,,,,,,40.0
CF5528/0,13560,3.26,0.8,,,,,,,,,,0.8
CMR4344/3A,18376,16.5,88.8,,,,,,,,,,88.8
CMR4344/3A,18646,50.4,271.2,,,,,,,,,,271.2
CMR4344/3A,18910,16.5,88.8,,,,,,,,,,88.8
CMR4344/3A,18929,2.7,14.5,,,,,,,,,,14.5
CMR4344/3A,18962,13.9,74.8,,,,,,,,,,74.8
CMR4344/3S,12321,13.9,112.6,247.6,247.6,247.6,247.6,247.6,247.6,247.6,247.6,13.2,"2,106.7"
CMR4344/3S,18376,16.5,133.6,293.9,293.9,293.9,293.9,293.9,293.9,293.9,293.9,15.7,"2,500.8"
CMR4344/3S,18646,50.4,408.1,897.8,897.8,897.8,897.8,897.8,897.8,897.8,897.8,48.0,"7,638.8"
CMR4344/3S,18910,16.5,133.6,293.9,293.9,293.9,293.9,293.9,293.9,293.9,293.9,15.7,"2,500.8"
CMR4344/3S,18929,2.7,21.9,48.1,48.1,48.1,48.1,48.1,48.1,48.1,48.1,2.6,409.2
CMR4649A/1,12066,1.92,1.0,,,,,,,,,,1.0
CMR4649A/1,12243,3.97,2.0,,,,,,,,,,2.0
CMR4649A/1,18426,94.11,47.1,,,,,,,,,,47.1
CMR4659A/1,12243,3.71,1.9,,,,,,,,,,1.9
CMR4659A/1,14895,2.73,1.4,,,,,,,,,,1.4
CMR4659A/1,18426,93.56,46.8,,,,,,,,,,46.8
CMR4773A/1,18372,41.46,16.6,,,,,,,,,,16.6
CMR4773A/1,18452,16.49,6.6,,,,,,,,,,6.6
CMR4773A/1,18794,31.38,12.6,,,,,,,,,,12.6
CMR4773A/1,18865,9.66,3.9,,,,,,,,,,3.9
CMR4773A/1,18929,0.99,0.4,,,,,,,,,,0.4
CSP4479A/1B,18376,23.4,69.6,153.1,153.1,153.1,153.1,153.1,140.3,,,,975.6
CSP4479A/1B,18469,18.3,54.4,119.8,119.8,119.8,119.8,119.8,109.7,,,,763.0
CSP4479A/1B,18646,38.5,114.5,252.0,252.0,252.0,252.0,252.0,230.8,,,,"1,605.1"
CSP4479A/1B,18894,19.8,58.9,129.6,129.6,129.6,129.6,129.6,118.7,,,,825.5
CT1577/1B,13364,47,232.7,,,,,,,,,,232.7
CT1577/1B,18454,12.5,61.9,,,,,,,,,,61.9
CT1577/1B,18929,0.7,3.5,,,,,,,,,,3.5
CT1577/1B,18987,34.3,169.8,,,,,,,,,,169.8
CT1577/1B,19003,5.5,27.2,,,,,,,,,,27.2
CT2155/1AT,19003,100,"2,400.9","5,281.9","5,281.9","5,281.9","5,281.9","5,281.9","5,281.9","5,281.9","5,281.9","6,664.6","51,320.8"
CT22150/1BA,12526,64.9,902.5,"1,985.6",401.5,,,,,,,,"3,289.6"
CT22150/1BA,18646,35.1,488.1,"1,073.9",217.1,,,,,,,,"1,779.1"
CT2222/1AT,11999,13.8,102.7,,,,,,,,,,102.7
CT2222/1AT,18426,37.1,276.1,,,,,,,,,,276.1
CT2222/1AT,18929,0.6,4.5,,,,,,,,,,4.5
CT2222/1AT,18987,41.9,311.8,,,,,,,,,,311.8
CT2222/1AT,19003,6.6,49.1,,,,,,,,,,49.1
CT2535/1L,18318,29.2,292.0,,,,,,,,,,292.0
CT2535/1L,18372,14,140.0,,,,,,,,,,140.0
CT2535/1L,18646,15.4,154.0,,,,,,,,,,154.0
CT2535/1L,18763,40.7,407.0,,,,,,,,,,407.0
CT2535/1L,18929,0.7,7.0,,,,,,,,,,7.0
CT2552/1L,12243,2.8,36.4,,,,,,,,,,36.4
CT2552/1L,18426,97.2,"1,262.9",,,,,,,,,,"1,262.9"
CT2876/2,11999,13.8,138.0,,,,,,,,,,138.0
CT2876/2,18086,29.6,296.0,,,,,,,,,,296.0
CT2876/2,18753,14.3,143.0,,,,,,,,,,143.0
CT2876/2,18763,41.6,416.0,,,,,,,,,,416.0
CT2876/2,18929,0.7,7.0,,,,,,,,,,7.0
CT2913/2DL,18426,36.5,585.1,144.9,,,,,,,,,730.0
CT2913/2DL,18904,16.5,264.5,65.5,,,,,,,,,330.0
CT2913/2DL,18929,0.7,11.2,2.8,,,,,,,,,14.0
CT2913/2DL,18987,38.8,622.0,154.0,,,,,,,,,776.0
CT2913/2DL,19003,7.5,120.2,29.8,,,,,,,,,150.0
CT3085/1DU,18233,19.1,,,493.2,270.8,,,,,,,764.0
CT3085/1DU,18763,28.1,,,725.6,398.4,,,,,,,"1,124.0"
CT3085/1DU,19003,9,,,232.4,127.6,,,,,,,360.0
CT3085/1DU,19030,43.8,,,"1,130.9",621.1,,,,,,,"1,752.0"
CT4648/0,18992,100,,,,,,,,,,,0.0
CT4785/1,19003,100,"1,857.7","2,211.2","1,801.0",,,,,,,,"5,870.0"
CV4787A/1,18993,100,25.0,,,,,,,,,,25.0
CV4788A/1,18372,100,50.0,,,,,,,,,,50.0
CV4789A/1,18372,100,50.0,,,,,,,,,,50.0
CV4790A/1,18993,100,40.0,,,,,,,,,,40.0
CV4791A/1,18993,100,40.0,,,,,,,,,,40.0
CV4792A/1,18372,100,50.0,,,,,,,,,,50.0
CV4802A/1,18208,66.3,33.2,,,,,,,,,,33.2
CV4802A/1,18372,33.7,16.9,,,,,,,,,,16.9
DFF446J/B,18884,100,"2,460.0","10,561.8","5,411.9","5,411.9","5,411.9","1,602.3",,,,,"30,859.8"
DFF505J/F,19089,100,"1,471.5","3,237.3",391.2,,,,,,,,"5,100.0"
DFF505R/F,13545,1.3,3.9,,,,,,,,,,3.9
DFF505R/F,19089,98.7,296.1,,,,,,,,,,296.1
FAB310-40/0,18659,100,77.2,,,,,,,,,,77.2
JB38/2,18703,100,"1,450.8",985.1,,,,,,,,,"2,435.9"
JC24/4,19045,100,62.9,,,,,,,,,,62.9
JC24/5,19076,100,31.4,,,,,,,,,,31.4
KBDU600K/1,19069,50,475.8,533.4,,,,,,,,,"1,009.3"
KBDU600K/1,19070,50,475.8,533.4,,,,,,,,,"1,009.3"
