Style,Yarn,Percentage,This Week,Week 36,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Later,Total
C1B3987C/1DU,19030,3.6,92.7,123.3,,,,,,,,,216.0
C1B4014-42/1AT,18363,10.9,,,,,,,,,,,0.0
C1B4014-42/1AT,18594,45.2,,,,,,,,,,,0.0
C1B4014-42/1AT,18763,37,,,,,,,,,,,0.0
C1B4014-42/1AT,18929,0.7,,,,,,,,,,,0.0
C1B4014-42/1AT,19003,6.2,,,,,,,,,,,0.0
C1B4033/1B,12526,12.5,,344.6,30.4,,,,,,,,375.0
C1B4033/1B,18376,39,,"1,075.0",95.0,,,,,,,,"1,170.0"
C1B4033/1B,18763,24.9,,686.4,60.6,,,,,,,,747.0
C1B4033/1B,18865,7.7,,212.3,18.7,,,,,,,,231.0
C1B4033/1B,18894,15.9,,438.3,38.7,,,,,,,,477.0
C1B4038/1C,12526,25.9,,676.6,165.1,,,,,,,,841.8
C1B4038/1C,18376,41,,"1,071.1",261.4,,,,,,,,"1,332.5"
C1B4038/1C,18893,16.3,,425.8,103.9,,,,,,,,529.8
C1B4038/1C,18894,16.8,,438.9,107.1,,,,,,,,546.0
C1B4125A/1CO,18233,16.2,252.1,146.6,,,,,,,,,398.7
C1B4125A/1CO,18358,8.4,130.7,76.0,,,,,,,,,206.7
C1B4125A/1CO,18372,26.2,407.7,237.1,,,,,,,,,644.8
C1B4125A/1CO,18894,8.4,130.7,76.0,,,,,,,,,206.7
C1B4125A/1CO,19020,40.8,634.9,369.2,,,,,,,,,"1,004.1"
C1B4125A/1T,18233,16.2,223.4,491.5,491.5,170.6,,,,,,,"1,377.0"
C1B4125A/1T,18293,8.4,115.8,254.9,254.9,88.4,,,,,,,714.0
C1B4125A/1T,18373,26.2,361.3,794.9,794.9,275.9,,,,,,,"2,227.0"
C1B4125A/1T,18894,8.4,115.8,254.9,254.9,88.4,,,,,,,714.0
C1B4125A/1T,19020,40.8,562.7,"1,237.9","1,237.9",429.6,,,,,,,"3,468.0"
C1B4139A/1B,12526,28.5,213.8,,,,,,,,,,213.8
C1B4139A/1B,18832,44.4,333.0,,,,,,,,,,333.0
C1B4139A/1B,18894,18.2,136.5,,,,,,,,,,136.5
C1B4139A/1B,19003,8.9,66.8,,,,,,,,,,66.8
C1B4312A/2RECA,12526,15.9,497.4,"1,094.2","1,020.2",489.5,,,,,,,"3,101.3"
C1B4312A/2RECA,18594,27.9,872.8,"1,920.1","1,790.2",858.9,,,,,,,"5,441.8"
C1B4312A/2RECA,18872,8.2,256.5,564.3,526.1,252.4,,,,,,,"1,599.4"
C1B4312A/2RECA,18927,31.7,991.6,"2,181.6","2,034.0",975.8,,,,,,,"6,183.0"
C1B4312A/2RECA,18929,0.6,18.8,41.3,38.5,18.5,,,,,,,117.0
C1B4312A/2RECA,18961,10.8,337.8,743.3,693.0,332.5,,,,,,,"2,106.5"
C1B4312A/2RECA,19003,4.9,153.3,337.2,314.4,150.8,,,,,,,955.7
C1B4313A/3REC,18594,26,1.0,,,,,,,,,,1.0
C1B4313A/3REC,18865,4.7,0.2,,,,,,,,,,0.2
C1B4313A/3REC,18872,9,0.4,,,,,,,,,,0.4
C1B4313A/3REC,18927,30.1,1.2,,,,,,,,,,1.2
C1B4313A/3REC,18929,0.6,0.0,,,,,,,,,,0.0
C1B4313A/3REC,18961,11.8,0.5,,,,,,,,,,0.5
C1B4313A/3REC,19066,17.8,0.7,,,,,,,,,,0.7
C1B4313A/3RECU,12526,17.8,414.2,911.3,911.3,911.3,911.3,50.2,,,,,"4,109.8"
C1B4313A/3RECU,18594,26,605.1,"1,331.2","1,331.2","1,331.2","1,331.2",73.3,,,,,"6,003.1"
C1B4313A/3RECU,18872,9,209.5,460.8,460.8,460.8,460.8,25.4,,,,,"2,078.0"
C1B4313A/3RECU,18927,30.1,700.5,"1,541.1","1,541.1","1,541.1","1,541.1",84.9,,,,,"6,949.8"
C1B4313A/3RECU,18929,0.6,14.0,30.7,30.7,30.7,30.7,1.7,,,,,138.5
C1B4313A/3RECU,18961,11.8,274.6,604.2,604.2,604.2,604.2,33.3,,,,,"2,724.5"
C1B4313A/3RECU,19003,4.7,109.4,240.6,240.6,240.6,240.6,13.3,,,,,"1,085.2"
C1B4338A/1KD,18673,13.5,236.3,,,,,,,,,,236.3
C1B4338A/1KD,18763,33.2,581.0,,,,,,,,,,581.0
C1B4338A/1KD,18929,0.6,10.5,,,,,,,,,,10.5
C1B4338A/1KD,18973,47.4,829.5,,,,,,,,,,829.5
C1B4338A/1KD,19003,5.3,92.8,,,,,,,,,,92.8
C1B4374A/1H,12526,8.1,165.4,57.4,,,,,,,,,222.8
C1B4374A/1H,18233,11.6,236.8,82.2,,,,,,,,,319.0
C1B4374A/1H,18673,13.2,269.5,93.5,,,,,,,,,363.0
C1B4374A/1H,18763,16.2,330.7,114.8,,,,,,,,,445.5
C1B4374A/1H,18929,0.7,14.3,5.0,,,,,,,,,19.3
C1B4374A/1H,18973,50.2,"1,024.8",355.7,,,,,,,,,"1,380.5"
C1B4546A/2D,18233,12.2,122.0,,,,,,,,,,122.0
C1B4546A/2D,18312,26.2,262.0,,,,,,,,,,262.0
C1B4546A/2D,18414,55.5,555.0,,,,,,,,,,555.0
C1B4546A/2D,18865,5.5,55.0,,,,,,,,,,55.0
C1B4546A/2D,18929,0.6,6.0,,,,,,,,,,6.0
C1B4571A/1N,18646,7.4,507.2,"1,115.8","1,115.8",875.9,225.9,,,,,,"3,840.7"
C1B4571A/1N,18712,8,548.3,"1,206.3","1,206.3",946.9,244.2,,,,,,"4,152.1"
C1B4571A/1N,18763,35.3,"2,419.5","5,322.9","5,322.9","4,178.1","1,077.6",,,,,,"18,321.0"
C1B4571A/1N,18929,0.7,48.0,105.6,105.6,82.9,21.4,,,,,,363.3
C1B4571A/1N,18954,6.9,472.9,"1,040.4","1,040.4",816.7,210.6,,,,,,"3,581.2"
C1B4571A/1N,18993,3.9,267.3,588.1,588.1,461.6,119.1,,,,,,"2,024.1"
C1B4571A/1N,19046,37.8,"2,590.8","5,699.8","5,699.8","4,474.0","1,153.9",,,,,,"19,618.5"
C1B4584A/1E,18358,10.9,169.3,156.4,,,,,,,,,325.7
C1B4584A/1E,18414,56.5,877.5,810.7,,,,,,,,,"1,688.2"
C1B4584A/1E,18929,0.7,10.9,10.0,,,,,,,,,20.9
C1B4584A/1E,19003,5.3,82.3,76.0,,,,,,,,,158.4
C1B4584A/1E,19030,26.6,413.1,381.7,,,,,,,,,794.8
C1B4612A/1,12526,8.1,,160.3,,,,,,,,,160.3
C1B4612A/1,18233,22,,435.4,,,,,,,,,435.4
C1B4612A/1,18452,46.2,,914.3,,,,,,,,,914.3
C1B4612A/1,18673,23.7,,469.0,,,,,,,,,469.0
C1B4613A/1,12526,15.9,203.5,113.3,,,,,,,,,316.9
C1B4613A/1,18233,19.7,252.2,140.4,,,,,,,,,392.6
C1B4613A/1,18372,22.4,286.8,159.7,,,,,,,,,446.4
C1B4613A/1,18452,42,537.7,299.4,,,,,,,,,837.1
C1B4639A/1,18726,53.1,,,,,,,,,,,0.0
C1B4639A/1,18861,24.5,,,,,,,,,,,0.0
C1B4639A/1,19019,22.4,,,,,,,,,,,0.0
C1B4746A/1,18233,15,,,,,,,,,,,0.0
C1B4746A/1,18452,28.8,,,,,,,,,,,0.0
C1B4746A/1,18614,15.6,,,,,,,,,,,0.0
C1B4746A/1,18794,40.6,,,,,,,,,,,0.0
C1B4771A/1,14148,13,0.5,,,,,,,,,,0.5
C1B4771A/1,18233,11.8,0.4,,,,,,,,,,0.4
C1B4771A/1,18763,28.8,1.1,,,,,,,,,,1.1
C1B4771A/1,18929,0.5,0.0,,,,,,,,,,0.0
C1B4771A/1,19033,45.9,1.7,,,,,,,,,,1.7
C1B4798A/1,18372,60.31,21.7,,,,,,,,,,21.7
C1B4798A/1,18373,30.82,11.1,,,,,,,,,,11.1
C1B4798A/1,18865,8.87,3.2,,,,,,,,,,3.2
C2B3237/3B,18086,17.3,,302.8,,,,,,,,,302.8
C2B3237/3B,18229,6.4,,112.0,,,,,,,,,112.0
C2B3237/3B,18414,48,,840.0,,,,,,,,,840.0
C2B3237/3B,18646,27.7,,484.8,,,,,,,,,484.8
C2B3237/3B,18929,0.6,,10.5,,,,,,,,,10.5
CEE2746/1L,12526,12.1,,,,,,220.6,21.4,,,,242.0
CEE2746/1L,18233,6.3,,,,,,114.8,11.2,,,,126.0
CEE2746/1L,18375,28,,,,,,510.4,49.6,,,,560.0
CEE2746/1L,18646,6.3,,,,,,114.8,11.2,,,,126.0
CEE2746/1L,18737,10.2,,,,,,185.9,18.1,,,,204.0
CEE2746/1L,18763,24.2,,,,,,441.2,42.8,,,,484.0
CEE2746/1L,18904,12.3,,,,,,224.2,21.8,,,,246.0
CEE2746/1L,18929,0.6,,,,,,10.9,1.1,,,,12.0
CEE2748/1D,12526,12.1,,,,,,258.1,405.6,32.1,,,695.8
CEE2748/1D,18233,6.3,,,,,,134.4,211.2,16.7,,,362.3
CEE2748/1D,18375,28,,,,,,597.2,938.5,74.3,,,"1,610.0"
CEE2748/1D,18646,6.3,,,,,,134.4,211.2,16.7,,,362.3
CEE2748/1D,18737,10.2,,,,,,217.6,341.9,27.1,,,586.5
CEE2748/1D,18763,24.2,,,,,,516.2,811.1,64.2,,,"1,391.5"
CEE2748/1D,18904,12.3,,,,,,262.4,412.3,32.6,,,707.3
CEE2748/1D,18929,0.6,,,,,,12.8,20.1,1.6,,,34.5
CEE2750/1L,12526,12.1,,,,,,,,60.5,,,60.5
CEE2750/1L,18233,6.3,,,,,,,,31.5,,,31.5
CEE2750/1L,18375,28,,,,,,,,140.0,,,140.0
CEE2750/1L,18646,6.3,,,,,,,,31.5,,,31.5
CEE2750/1L,18737,10.2,,,,,,,,51.0,,,51.0
CEE2750/1L,18763,24.2,,,,,,,,121.0,,,121.0
CEE2750/1L,18904,12.3,,,,,,,,61.5,,,61.5
CEE2750/1L,18929,0.6,,,,,,,,3.0,,,3.0
CEE2837/1CL,12526,11.7,152.0,82.0,,,,,,,,,234.0
CEE2837/1CL,18233,6.2,80.5,43.5,,,,,,,,,124.0
CEE2837/1CL,18375,30.1,390.9,211.1,,,,,,,,,602.0
CEE2837/1CL,18646,6.2,80.5,43.5,,,,,,,,,124.0
CEE2837/1CL,18737,9.9,128.6,69.4,,,,,,,,,198.0
CEE2837/1CL,18763,23.4,303.9,164.1,,,,,,,,,468.0
CEE2837/1CL,18904,11.9,154.6,83.4,,,,,,,,,238.0
CEE2837/1CL,18929,0.6,7.8,4.2,,,,,,,,,12.0
CEE2838/1IN,12526,12.1,177.6,390.7,390.7,390.7,181.2,,,,,,"1,531.0"
CEE2838/1IN,18233,6.3,92.5,203.4,203.4,203.4,94.3,,,,,,797.1
CEE2838/1IN,18438,28,411.0,904.2,904.2,904.2,419.3,,,,,,"3,542.7"
CEE2838/1IN,18646,6.3,92.5,203.4,203.4,203.4,94.3,,,,,,797.1
CEE2838/1IN,18737,10.2,149.7,329.4,329.4,329.4,152.7,,,,,,"1,290.6"
CEE2838/1IN,18763,24.2,355.2,781.4,781.4,781.4,362.4,,,,,,"3,061.9"
CEE2838/1IN,18904,12.3,180.5,397.2,397.2,397.2,184.2,,,,,,"1,556.3"
CEE2838/1IN,18929,0.6,8.8,19.4,19.4,19.4,9.0,,,,,,75.9
CEE2839/1CL,12526,12.1,233.2,513.0,465.5,,,,,,,,"1,211.7"
CEE2839/1CL,18233,6.3,121.4,267.1,242.4,,,,,,,,630.9
CEE2839/1CL,18438,28,539.6,"1,187.2","1,077.1",,,,,,,,"2,803.9"
CEE2839/1CL,18646,6.3,121.4,267.1,242.4,,,,,,,,630.9
