Yarn,Supplier,Description,Color,Monday Inventory,Total Demand,Total Receipt,Balance,Past Due Receipts,,Demand This Week,Receipts This Week,Balance This Week,,Demand Week 36,Receipts Week 36,Balance Week 36,,Demand Week 37,Receipts Week 37,Balance Week 37,,Demand Week 38,Receipts Week 38,Balance Week 38,,Demand Week 39,Receipts Week 39,Balance Week 39,,Demand Week 40,Receipts Week 40,Balance Week 40,,Demand Week 41,Receipts Week 41,Balance Week 41,,Demand Week 42,Receipts Week 42,Balance Week 42,,Demand Week 43,Receipts Week 43,Balance Week 43,,Demand Later,Receipts Later,Balance Later
18884,BUHLER QUALITY YARNS CORP,21/1 75/15/10 Modacrylic/Tencel/Nylon Natural Protex C - G100 MVS,Natural,"3,223.0","30,859.8","36,161.3","8,524.5","20,161.3",,"3,444.0",0.0,-220.9,,"9,577.8",0.0,"-9,798.7",,"5,411.9",0.0,"-15,210.6",,"5,411.9",0.0,"-20,622.6",,"5,411.9",0.0,"-26,034.5",,"1,602.3",0.0,"-27,636.8",,0.0,0.0,"-27,636.8",,0.0,0.0,"-27,636.8",,0.0,"4,000.0","-23,636.8",,0.0,"12,000.0","-11,636.8"
13364,PARKDALE YARN MILLS,20/1 100% Karded Cotton Natural OE,Natural,70.2,232.7,0.0,-162.5,0.0,,232.7,0.0,-162.5,,0.0,0.0,-162.5,,0.0,0.0,-162.5,,0.0,0.0,-162.5,,0.0,0.0,-162.5,,0.0,0.0,-162.5,,0.0,0.0,-162.5,,0.0,0.0,-162.5,,0.0,0.0,-162.5,,0.0,0.0,-162.5
18318,SPUNLAB,30/1 70/10/20 Polyester/Cotton/Rayon Black 65% 12% Black Poly 8097 RS,Black 65%,229.0,292.0,0.0,-63.0,0.0,,292.0,0.0,-63.0,,0.0,0.0,-63.0,,0.0,0.0,-63.0,,0.0,0.0,-63.0,,0.0,0.0,-63.0,,0.0,0.0,-63.0,,0.0,0.0,-63.0,,0.0,0.0,-63.0,,0.0,0.0,-63.0,,0.0,0.0,-63.0
18859,NANY,1/70/36 100% Polyester Semi Dull ,Semi Dull,0.0,0.0,"40,600.0","40,600.0",0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,"5,800.0","5,800.0",,0.0,"5,800.0","11,600.0",,0.0,"5,800.0","17,400.0",,0.0,"5,800.0","23,200.0",,0.0,"5,800.0","29,000.0",,0.0,"11,600.0","40,600.0"
19087,BUHLER QUALITY YARNS CORP,21/1 75/15/10 Protex F/Tencel G100/Nylon Natural ,Natural,0.0,0.0,270.0,270.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,270.0,270.0,,0.0,0.0,270.0,,0.0,0.0,270.0,,0.0,0.0,270.0,,0.0,0.0,270.0,,0.0,0.0,270.0,,0.0,0.0,270.0
19009,DECA GLOBAL,20/1 60/40 Combed Cotton/Polyester Natural RS,Natural,0.0,0.0,"8,000.0","8,000.0","8,000.0",,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
19067,Marionette,1/150/48 100% Polyester Bright Trilobal Flat ,Bright,0.0,0.0,"44,000.0","44,000.0",0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,"44,000.0","44,000.0",,0.0,0.0,"44,000.0"
19091,BARNET,2/300/68 100% Polyester Natural Stretch ,Natural,0.0,0.0,"40,000.0","40,000.0","32,000.0",,0.0,0.0,0.0,,0.0,"8,000.0","8,000.0",,0.0,0.0,"8,000.0",,0.0,0.0,"8,000.0",,0.0,0.0,"8,000.0",,0.0,0.0,"8,000.0",,0.0,0.0,"8,000.0",,0.0,0.0,"8,000.0",,0.0,0.0,"8,000.0",,0.0,0.0,"8,000.0"
19025,DECA GLOBAL,1/150/36 100% Polyester Orange 3373-02 ,Orange,0.0,0.0,"7,000.0","7,000.0","7,000.0",,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
19071,DRAKE EXTRUSION INC,1/70/36 100% Polypropylene Black PCR with Hindered Amine Light Stablilizer ,Black,0.0,0.0,168.0,168.0,168.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
