PO Date,PO #,Purchased From,Desc,Price,INVEN,PO Order Amt,Rec'd,PO Bal,Unscheduled or Past Due,This Week,9/5/2025,9/12/2025,9/19/2025,9/26/2025,10/3/2025,10/10/2025,10/17/2025,10/24/2025,Later,Type,Ply,Size,Filament,Color,Blend
5/22/2025,Y2505030,DRAKE EXTRUSION INC,19071,$4.95 ,0.00,168,0,168,168,,,,,,,,,,,Polypropylene,1,70,36,Black,100%
5/27/2025,Y2505037,Unifi,18903,$1.95 ,"16,469.57","5,000",0,"5,000",0,,,,,,,,,,"5,000",Polyester,1,70,72,Natural,100%
6/12/2025,Y2506016,Deca Global,18594,$5.15 ,"3,119.54","39,000",0,"39,000",0,,,,"4,875",,"4,875",,"4,875",,"24,375",Polyethylene,1,300,120,Natural,100%
6/18/2025,Y2506019,OMara Textiles,12047,$3.33 ,"1,561.73","3,000","1,422","1,578","1,578",,,,,,,,,,,Polyester,1,150,36,Silver,100%L44
6/25/2025,Y2506025,Unifi,9863,$4.19 ,"5,939.50","16,000","4,210","11,790","3,790","4,000","4,000",,,,,,,,,Polyester,1,2150,464,BLK/DOL,100%
7/3/2025,Y2507001,MOVEINA,19081,$32.67 ,0.00,700,0,700,700,,,,,,,,,,,Kevlar,27,1,,Black,100%
7/3/2025,Y2507002,MOVEINA,19082,$32.67 ,0.00,700,0,700,700,,,,,,,,,,,Kevlar,27,1,,Black,100%
7/8/2025,Y2507008,BUHLER,19087,$7.90 ,0.00,270,0,270,0,,,,270,,,,,,,Protex F/Tencel G100/Nylon,21,1,,Natural,75/15/10
7/9/2025,Y2507009,BUHLER,18870,$11.39 ,-162.21,"14,000",0,"14,000","13,000",,,,,,"1,000",,,,,PPS/Glass,10,2,,Natural,80/20
7/10/2025,Y2507011,"Meridian Specialty Yarn Group, Inc.",18712,$3.36 ,"1,368.10","10,000",0,"10,000","2,000",,"2,000",,"2,000",,"2,000",,"2,000",,,Polyester,1,150,36,ST LUCIA,100%
7/10/2025,Y2507012,OMara Textiles,18954,$2.95 ,"2,339.25","8,000","1,928","6,072",72,,"2,000",,"2,000",,"2,000",,,,,Polyester,1,150,34,Fosse Ink,100%
7/10/2025,Y2507013,DUNAWAY YARNS INC,19046,$1.70 ,"7,726.75","40,000",0,"40,000",0,,,,,,,"5,000",,"5,000","30,000",Polyester,24,1,,Black 4%,96/4
7/11/2025,Y2507014,Parkdale Yarn Mills,19004,$3.56 ,-994.35,"20,000",0,"20,000",0,"5,000","5,000","5,000","5,000",,,,,,,Polyester,24,1,,Black 4%,96/4
7/12/2025,Y2507016,Dillon Yarns,18929,$3.24 ,897.43,"3,200",0,"3,200",0,,,800,,,800,,,800,800,Lycra,1,40,,Bright,100%
7/16/2025,Y2507022,COMTRADE,19076,$2.40 ,"3,206.20","9,450","6,300","3,150",0,,,,,"3,150",,,,,,Combed Cotton,24,1,,Natural,100%
7/16/2025,Y2507023,Deca Global,18763,$1.18 ,"22,832.44","25,000","23,183","1,817",-183,,"2,000",,,,,,,,,Polyester,2,300,68,Semi Dull,100%
7/21/2025,Y2507029,FILSPEC Yarns,19089,$10.30 ,0.00,"6,000",0,"6,000",0,,,"2,500","2,500","1,000",,,,,,Modacrylic/Rayon/Nylon,26,1,,Natural,75/15/10
7/21/2025,Y2507030,CS America,18845,$1.20 ,"6,796.09","16,000","7,279","8,721",721,"1,600","1,600","1,600","1,600","1,600",,,,,,Polyester,1,75,72,Natural,100%
7/22/2025,Y2507032,"B & W Fiber Glass, Inc.",18696,$2.05 ,"2,293.27","16,000",0,"16,000",0,,,,,,,"1,600",,,"14,400",Glass,1,198,,Natural,100%
7/22/2025,Y2507035,Parkdale Yarn Mills,18019,$1.24 ,"5,558.67","20,400","13,119","7,281",481,,"6,800",,,,,,,,,Karded Cotton,18,1,,Natural,100%
7/25/2025,Y2507038,"William Barnet & Son, LLC",18646,$1.06 ,"14,568.93","10,000",0,"10,000","10,000",,,,,,,,,,,Polyester,1,150,48,Natural,100%
7/28/2025,Y2507042,"William Barnet & Son, LLC",19091,$1.22 ,0.00,"40,000",0,"40,000","32,000",,"8,000",,,,,,,,,Polyester,2,300,68,Natural,100%
7/28/2025,Y2507043,DeSales Trading Co,18859,$1.04 ,0.00,"40,600",0,"40,600",0,,,,,"5,800","5,800","5,800","5,800","5,800","11,600",Polyester,1,70,36,Semi Dull,100%
7/29/2025,Y2507046,Parkdale Yarn Mills,18910,$3.58 ,"2,396.68","5,000",0,"5,000",0,,"1,000",,,"1,000",,,"1,000",,"2,000",Polyester,30,1,,Black 1%,99/1
7/29/2025,Y2507047,OMara Textiles,18961,$2.45 ,"2,302.60","3,000",0,"3,000","3,000",,,,,,,,,,,Polyester,1,150,34,Dawn Grey,100%
7/29/2025,Y2507048,Deca Global,18376,$1.42 ,680.94,"4,000",0,"4,000","4,000",,,,,,,,,,,Polyester,30,1,,Natural,100%
7/31/2025,Y2507052,FILSPEC Yarns,19089,$10.30 ,0.00,"3,000",0,"3,000",0,,,"3,000",,,,,,,,Modacrylic/Rayon/Nylon,26,1,,Natural,75/15/10
8/1/2025,Y2508001,"Meridian Specialty Yarn Group, Inc.",18293,$3.19 ,933.67,840,0,840,840,,,,,,,,,,,Polyester,1,150,36,MAR ROYAL,100%
8/4/2025,Y2508002,BUHLER,18884,$7.90 ,"2,506.18","16,000",0,"16,000",0,,,,,,,,,"4,000","12,000",Modacrylic/Tencel/Nylon,21,1,,Natural,75/15/10
8/6/2025,Y2508006,Unifi,10027,$2.60 ,"3,092.00","5,000",0,"5,000",0,,"2,500","2,500",,,,,,,,Polyester,2,150,34,SOLDY BLK,100%
8/6/2025,Y2508007,Unifi,18290,$5.31 ,"3,290.93","5,000",0,"5,000",0,,"2,500","2,500",,,,,,,,Polyester,1,150,34,Dawn Grey,100%
8/7/2025,Y2508008,Unifi,18865,$0.65 ,"4,939.57","16,649",0,"16,649",0,,,"16,649",,,,,,,,Polyester,1,70,34,Natural,100%
8/8/2025,Y2508009,COMTRADE,19076,$2.50 ,"3,206.20","4,850",0,"4,850",0,,,,,,"4,850",,,,,Combed Cotton,24,1,,Natural,100%
8/11/2025,Y2508011,Deca Global,18375,$1.40 ,"2,400.00","6,500","2,400","4,100",850,"3,250",,,,,,,,,,Polyester,20,1,,Natural,100%
8/13/2025,Y2508012,Unifi,11896,$4.19 ,"10,620.48","12,000",0,"12,000",0,,,,"4,000","4,000","4,000",,,,,Polyester,1,750,192,BLK SATUR,100%
8/13/2025,Y2508013,CS America,18771,$1.87 ,"1,591.44","3,500",0,"3,500",0,"3,500",,,,,,,,,,Polyester,1,150,96,Semi Dull,100%
